ID,Display Name,Listed,Do Not List,Industry Avg,BEAM Avg,EPD Expiry,Footnote,Material,Manufacturer,Product Brand Name,Specifications,Notes,Countries of Manufacture,Markets of Applicability,Data added or modified,Stated EPD kgCO2e / unit,GWP units kgCO2e per,GWP kgCO2e/(common unit),Common Unit: kgCO2e / _,Metric Units,Imperial Units,GWP-bio from EPD kg CO2e/common unit,Biogenic carbon factor,% Carbon content (kgC/kg),Biogenic Storage kgCO2e/(common unit),Common Unit: kgCO2e / _,WWF Storage Factor kgCO2e/kgC,Carbon content kgC/unit,Units: kgC / _,Biogenic CO2 kg - full C value,Storage % Reduction,Density,Density Units,Addn'l factors,Addn'l factor units,R-value / inch,"k, Thermal Conductivity
W/(mK)",Moisture content %,Mass (kg),Length (m) ,Width (m) ,Depth (m) ,Unit Volume (m3),Units/m2,Material Type,Material Subtype,Product Type,Product Subtype,CSI MasterFormat,EPD ID,EPD Type,EPD Owner,EPD/LCA Prepared by,EPD Program / Operator,Internal/External Validation,EPD Verifying Agent,EPD Standards,EPD PCR Guidelines,LCA Method,EPD LCA Software,EPD LCI Database,Product Service Life (Years),Source document URL,
199253,Aerogel blanket / Aspen Aerogels / R9.6-inch,TRUE,FALSE,FALSE,FALSE,2020,Expired 2020,Aerogel blanket,Aspen Aerogels,,"R9.6/inch, White/Grey blanket",,,US,,12.3,1m2 @ 10 mm,18.45,m2•RSI,m²•RSI,ft²•R,,,,,,,,,,,150,kg/m3,,,9.614746667,0.0150000,,,,,,,,Aerogel,,Insulation,Batt & Blanket,,S-P-00725 ,Product-specific,,Renuables,,,,,,,,,,,
2c53be,Aggregate / NRMCA / US Average [Industry Avg],TRUE,FALSE,TRUE,FALSE,2023,Expired 2023,Aggregate,NRMCA,,Avg construction aggregate (gravel & sand),,,US,,9.52,MT,16.01,m³,m³,ft³,,,,,,,,,,,1682,kg/m3,,,,,,,,,,,,Aggregate,Stone & Sand,Construction aggregate,Crushed Stone,,NRMCAEPD: 10020 ,Industry average,NRMCA,Athena,,,,,,,,,,,
SBP00X,Sheet Barrier Permeable / [BEAM Avg],TRUE,FALSE,FALSE,TRUE,,,Sheet barrier permeable,Database Average,,,,,,2024-03-21,,,0.73,m²,m²,ft²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BEAM Average,,,,,,,,,,,,,
SBM00X,Sheet Barrier Moisture-Variable / [BEAM Avg],TRUE,FALSE,FALSE,TRUE,,,Sheet Barrier Moisture-Variable,Database Average,,,,,,2024-03-21,,,0.71,m²,m²,ft²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BEAM Average,,,,,,,,,,,,,
SBNP0X,Sheet barrier Non-Permeable / [BEAM Avg],TRUE,FALSE,FALSE,TRUE,,,Sheet barrier Non-Permeable ,Database Average,,,,,,2024-03-21,,,0.58,m²,m²,ft²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BEAM Average,,,,,,,,,,,,,
LAB00X,Liquid Applied Barrier / [BEAM Avg],TRUE,FALSE,FALSE,TRUE,,,Liquid Applied Barrier,Database Average,,,,,,2024-03-21,,,5.16,m²,m²,ft²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BEAM Average,,,,,,,,,,,,,
SAB00X,Self-Adhered Barrier / [BEAM Avg],TRUE,FALSE,FALSE,TRUE,,,Self-Adhered Barrier,Database Average,,,,,,2024-03-21,,,2.55,m²,m²,ft²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BEAM Average,,,,,,,,,,,,,
RSB00X,Roof Deck Sheet Barrier / [BEAM Avg],TRUE,FALSE,FALSE,TRUE,,,Roof Deck Sheet Barrier,Database Average,,,,,,2024-03-21,,,0.78,m²,m²,ft²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BEAM Average,,,,,,,,,,,,,
RLB00X,Roof Deck Liquid Applied Barrier / [BEAM Avg],TRUE,FALSE,FALSE,TRUE,,,Roof Deck Sheet Barrier,Database Average,,,,,,2024-03-21,,,6.78,m²,m²,ft²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BEAM Average,,,,,,,,,,,,,
CSB00X,Ceiling Sheet Barrier / [BEAM Avg],TRUE,FALSE,FALSE,TRUE,,,Roof Deck Sheet Barrier,Database Average,,,,,,2024-03-21,,,0.62,m²,m²,ft²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BEAM Average,,,,,,,,,,,,,
