"","INTERIOR WALLS","","","","","","","","","","","",""
"","PROJECT NAME:    Sample Project DOE Prototype
SCENARIO:              Baseline
BEAM VERSION:     V1.1","","FALSE","","","","","","","","","","T08"
"CATEGORY","MATERIAL","","UNITS","","","","","","","","","FOOTNOTE","ID"
"LIGHT STEEL FRAME INTERIOR WALLS","","","","","","","","","","","","","T08|C01"
"LIGHT STEEL FRAMING – 16 GAUGE (2X6)","","","","","","","","","","","","","T08|C01|S01"
"","Steel studs - Load bearing / Steel Framing Industry Assn / 600-S-137-54, 16 gauge [Industry Avg, US & CA]","200.6","m²","100%","","FALSE","0","0","0","0","","","T08|C01|S01|sss005"
"","Steel studs - Load bearing / Scafco / 600-S-137-54, 16 gauge","200.6","m²","100%","","FALSE","0","0","0","0","","Expired 2024","T08|C01|S01|3a1205"
"","Steel studs - Load bearing / MarinoWARE / Structural stud and track / 600-S-137-54, 16 gauge","200.6","m²","100%","","FALSE","0","0","0","0","","","T08|C01|S01|sss001"
"","Steel studs - Load bearing / ClarkDietrich / 600-S-137-54, 16 gauge","200.6","m²","100%","","FALSE","0","0","0","0","","","T08|C01|S01|sss000"
"LIGHT STEEL FRAMING – 20 GAUGE (2X4)","","","","","","","","","","","","","T08|C01|S02"
"","Steel studs - Non-loadbearing / Steel Framing Industry Assn / 362-S-137-54 20EQ gauge [Industry Avg, US+Can]","200.6","m²","100%","","FALSE","0","0","0","0","","","T08|C01|S02|sss006"
"","Steel studs - Non-loadbearing / Scafco / 362VS125-18, 20EQ gauge","200.6","m²","100%","","FALSE","0","0","0","0","","Expired 2024","T08|C01|S02|58154c"
"","Steel studs - Non-loadbearing / MarinoWARE / Viper Stud Viper 20 / 20EQ gauge","200.6","m²","100%","","FALSE","0","0","0","0","","","T08|C01|S02|sss003"
"","Steel studs - Non-loadbearing / ClarkDietrich / 362-S-125-18, 20EQ gauge","200.6","m²","100%","","FALSE","0","0","0","0","","","T08|C01|S02|sss002"
"LIGHT WOOD FRAME INTERIOR WALLS","","","16.0","","","","","","","","","","T08|C02"
"FRAMING LUMBER – SPRUCE-PINE-FIR","","","","","","","","","","","","","T08|C02|S01"
"","Wood / SPF / 2x8 Lumber / AWC & CWC [Industry Avg | US & CA]","200.6","m²","100%","","FALSE","583","583","0","7,016","FALSE","Expired 2025; BfCA BioC calc by mass","T08|C02|S01|4lv9wd"
"","Wood / SPF / 2x8 Lumber / Surfaced Dry Softwood Lumber Produced in British Columbia","200.6","m²","100%","","FALSE","424","424","0","6,530","FALSE","","T08|C02|S01|SPF002"
"","Wood / SPF / 2x6 Lumber / AWC & CWC [Industry Avg | US & CA]","20.1","m²","10%","","TRUE","44","44","0","532","FALSE","Expired 2025; BfCA BioC calc by mass","T08|C02|S01|c309dk"
"","Wood / SPF / 2x6 Lumber / Surfaced Dry Softwood Lumber Produced in British Columbia","200.6","m²","100%","","FALSE","321","321","0","4,954","FALSE","","T08|C02|S01|SPF001"
