SECTION 1 ➜ COMPONENT MATERIALS FOR,,,FOUNDATION - FOOTINGS & SLABS,,,,,,,,,,,,,,,,,,,,,,,,,
"INSTRUCTIONS: (double-click)
The NET kgCO2e EMISSIONS column (Col. I) shows the global warming potential (GWP) of each material based on the information provided. 
You must specify the R-VALUE, THICKNESS, FRAMING SPACING or any other required information in areas highlighted in YELLOW.
Enter ""1"" in the SELECT column (Col. H) to add each material to your building. The net carbon emissions for the selected material will be highlighted in ORANGE. 
Use the percentage values cell (Col. G) if necessary to adjust the material quantity present in the building. 
The carbon footprint of each selection will be added to the section SUBTOTAL (top of Col. M)  for this page, and for summary reporting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY,,MATERIAL,QUANTITY,,%,,SELECT,NET kgCO2e EMISSIONS,SELECTED MATERIAL kgCO2e CONTENT,kgCO2e EMISSIONS,kgCO2 STORAGE,kgCO2e SUBTOTAL FOR FOUNDATION FOOTINGS & SLAB,,,,,,,,,,,,,,,,
,,,,,,,,,,,, -   ,,Category,Subcategory,,,,,,,,,,,,,
,,#N/A,0.0,m3,100%,,,#N/A,,#N/A,#N/A,,,FOUNDATION - FOOTINGS & SLABS,FOOTINGS & PADS,,,,,,,,,,,,,
REBAR,,,CUSTOM LENGTH,,m,,,,,,,,,,,,,,,,,,,,,,,
,CONCRETE REINFORCING BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Specify an overall rebar length.,,Rebar / Concrete Reinforcing Steel Institute /  / 10M,0.0,m,100%,,,0,,0,0,Expired 2022,,FOUNDATION - FOOTINGS & SLABS,REBAR,,,,,,,,,,,,,
,,Rebar / Concrete Reinforcing Steel Institute /  / 15M,0.0,m,100%,,,0,,0,0,Expired 2022,,FOUNDATION - FOOTINGS & SLABS,REBAR,,,,,,,,,,,,,
,,Rebar / Nucor Corporation / Canadian sizes / 10M,0.0,m,100%,,,0,,0,0,,,FOUNDATION - FOOTINGS & SLABS,REBAR,,,,,,,,,,,,,
,,Rebar / Nucor Corporation / Canadian sizes / 15M,0.0,m,100%,,,0,,0,0,,,FOUNDATION - FOOTINGS & SLABS,REBAR,,,,,,,,,,,,,
,,Rebar / Nucor Corporation / Canadian sizes / 20M,0.0,m,100%,,,0,,0,0,,,FOUNDATION - FOOTINGS & SLABS,REBAR,,,,,,,,,,,,,
,,Rebar / ArcelorMittal Long Products Canada / Canadian sizes / 10M,0.0,m,100%,,,0,,0,0,Expired 2024,,FOUNDATION - FOOTINGS & SLABS,REBAR,,,,,,,,,,,,,
,,Rebar / ArcelorMittal Long Products Canada / Canadian sizes / 15M,0.0,m,100%,,,0,,0,0,Expired 2024,,FOUNDATION - FOOTINGS & SLABS,REBAR,,,,,,,,,,,,,
,,Rebar / ArcelorMittal Long Products Canada / Canadian sizes / 20M,0.0,m,100%,,,0,,0,0,Expired 2024,,FOUNDATION - FOOTINGS & SLABS,REBAR,,,,,,,,,,,,,
STEEL REINFORCING MESH,,,CUSTOM AREA:,,m2,,,,,,,,,,,,,,,,,,,,,,,
,WELDED WIRE MESH,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Welded wire mesh / Serfas /  / 6"" x 6"" x 6/6g / Norway",0.0,m2,100%,,,0,,0,0,Expired 2021,,FOUNDATION - FOOTINGS & SLABS,STEEL REINFORCING MESH,,,,,,,,,,,,,
HELICAL PIERS,,,TOTAL LENGTH OF ALL PIERS:,,m,,,,,,,,,,,,,,,,,,,,,,,
,HELICAL PIERS,,,,,,,,,,,,,,,,,,,,,,,,,,,
Specify the total length of all piers. Use % to adjust for different sized piers,,"Helical pier / Generic /  / 3"" Nominal Pipe, 3.5 x 3/16"" (89 x 5.5 mm), 10"" Helix, Sched 40 STD Galvanized steel",0.0,m,100%,,,0,,0,0,Expired 2021,,FOUNDATION - FOOTINGS & SLABS,HELICAL PIERS,,,,,,,,,,,,,
CONCRETE SLAB FLOOR(S),,,THICKNESS:,,in,=,0,m,,,,,,,,,,,,,,,,,,,,
