"Display Name ACQ wood treatment Synthetic Stucco (Acrylic) [BEAM Avg | US & CA]","EPD Number / Document ID ","EPD ID Bolin & Smith, 2011, LCA Assessment of ACQ-treated lumber, Journal of Cleaner Production ","EPD Owner ","Material ACQ wood treatment Acrylic Stucco Textured Finish","Manufacturer / Organization Sto Corp.","Product Name / Description ","Specifications ","EPD Expiry "
"Bamboo Glulam / Lamboo / Structural Grade Product Systems","","S-P-08118","Jeran Hammann/ Lamboo","Lamboo- Bamboo Panel Product","Lamboo","Structural Grade Product Systems","","2028-01-16"
"Bamboo beams / MOSO / Bamboo Solid Beams / High Density","","EPD-NIBE-20210322-18246","MOSO International BV","Hard Bamboo flooring","MOSO International","Bamboo Solid Beams","","2027"
"Polyester-limestone composite tile / Armstrong / BioBased Tile (BBT™) / 2.0 mm","","EPD-003","","BioBased Tile","Armstrong","BioBased Tile","Non-PVC with BioStride polyester binder, Striations BBT and Migrations BBT","2024"
"Brick, Clay, Generic Modular / 3-5/8"" x 2-3/4"" x 7-5/8"" incl. 3/8"" mortar / Brick Industry Association / [Industry Avg | US-Canada]","","EPD10447","Brick Industry Association","Brick, Clay, Generic Modular","Brick Industry Association","US-Canada Industry Average","3-5/8"" x 2-3/4"" x 7-5/8"" incl. 3/8"" mortar","2025-10-06"
"Brick, Clay / Interstate / Avg Face Brick / 3-5/8"" x 2-3/4"" x 7-5/8"" (92 x 70 x 194 mm) incl. 3/8"" mortar","","EPD-131","","Brick, Clay","Interstate","Avg Face Brick","3-5/8"" x 2-3/4"" x 7-5/8"" (92 x 70 x 194 mm) incl. 3/8"" mortar","2025"
"Brick, Clay / Matzen Tegl / Avg Face Brick, produce with Biogas  / 2-1/2"" x 5/8"" x 7-1/2"" (64 x 16 x 190 mm) incl. 3/8"" mortar [EU]","","MD-21011-EN","Matzen Tegl","Brick, Clay","Matzen Tegl ","Avg Face Brick, produce with Biogas ","3-5/8"" x 2-3/4"" x 7-5/8"" (92 x 70 x 194 mm) incl. 3/8"" mortar","2026-01-11"
"Brick, Clay / Mutual Materials / Avg Face Brick (plant Avg) /  3-5/8"" x 2-3/4"" x 7-5/8"" (92 x 70 x 194 mm) incl. 3/8"" mortar","","EPD-540, EPD-539","Mutual Materials","Brick, Clay","Mutual Materials","Avg Face Brick (plant Avg)","3-5/8"" x 2-3/4"" x 7-5/8"" (92 x 70 x 194 mm) incl. 3/8"" mortar","2028-08-28"
"Brick, Clay / SHAW / Avg Face Brick / 3-5/8"" x 2-3/4"" x 7-5/8"" (92 x 70 x 194 mm) incl. 3/8"" mortar","","EPD 359","Shaw","Brick, Clay","SHAW","Avg Face Brick","3-5/8"" x 2-3/4"" x 7-5/8"" (92 x 70 x 194 mm) incl. 3/8"" mortar","2027-09-20"
"Thin Veneer Brick [BEAM Avg | US & CA]","","","","Thin Veneer Brick, Clay","Mutual Materials, SHAW, Interstate","","",""
"Brick, Clay / Mutual Materials / Avg Thin Face Brick (plant Avg) / 2-1/2"" x 5/8"" x 7-1/2"" (64 x 16 x 190 mm) incl. 3/8"" mortar","","EPD-540, EPD-539","Mutual Materials","Brick, Clay","Mutual Materials","Avg Thin Face Brick, Columbia Plant","2-1/2"" x 5/8"" x 7-1/2"" (64 x 16 x 190 mm) incl. 3/8"" mortar","2028-08-28"
"Brick, Clay / Interstate / Avg Thin Face Brick / 3-9/16"" x 5/8"" x 11-5/8"" (90 x 16 mm x 295) incl. 3/8"" mortar and ties","","EPD-131","","Brick, Clay","Interstate","Avg Thin Face Brick","3-9/16"" x 5/8"" x 11-5/8"" (90 x 16 mm x 295) incl. 3/8"" mortar","2025"
"Brick, Clay / SHAW / Slender - Thin Face Brick / 2 1/4"" x 1/2"" x 7-1/2"" (57 x 12.7 mm x 190) incl. 3/8"" mortar","","EPD 359","Shaw","Brick, Clay","SHAW","Slender - Thin Face Brick","2 1/4"" x 1/2"" x 7-1/2"" (57 x 12.7 mm x 190) incl. 3/8"" mortar","2027-09-20"
"Brick, Waste-based / StoneCycling / Caramel / 215x102x65 mm, incl. 3/8"" mortar / EU","","LCA888510/R20170487","StoneCyclin BV","Brick, Waste-based","StoneCycling","Caramel","215x102x65 mm, incl. 3/8"" mortar","2026"
"Stone Cladding, incl. mortar & ties / Arriscraft / Natural Limestone Masonry / Weighted average product profile","","EPD-054","","Dimensional Stone","Arriscraft","Natural Limestone Masonry","Weighted average product profile","2021"
"Stone Cladding, incl. mortar & ties / Natural Stone Institute / Includes limestone, granite, marble, quartzite, sandstone  [Industry Avg | US & CA] ","04 41, 04 42, 04 43, 04 43 16,
09 75","NSI – 20221101 – 003","Natural Stone Institute","Dimensional Stone","Natural Stone Institute study participating quarries: Coldspring, Delgado Stone Distributors, Freshwater Stone, Independent
Limestone Company, Polycor, Quality Stone Corporation, Royal Bedrock Inc., Russell Stone Products, Stony Creek Quarry, Vermont Quarries Corporation, and Vetter Stone Company","Includes: Delgado Stone, Polycor, Russell Stone Products, Vetter Stone Company, Continental Cut Stone","Weighted average product profile of installed m2 including mortar and connectors from 17 facilities.","2027-10-31"
"Natural stone flooring / Natural Stone Institute / Includes limestone, granite, marble & quartzite / 1/2"" thickness / Mortar included / [Industry Avg, US]","","NSI-20221101-002","Natural Stone Institute","Stone","Natural Stone Institute","Includes: Coldspring, Colorado Stone Quarries, Continental Cut Stone, Delgado Stone, Independent Limestone Co, Polycor, Quality Stone, Royal Bedrock, Russel Stone, Stoney Creek Quarry, Vermont Quarriees, Vetter Stone","83.28 kg/m2","2027"
"Granite flooring / Polycor Natural Stone / All granite products / 1/2"" thickness","","POL-20230213-001","Polycor Natural Stone","Stone","Polycor Natural Stone","Includes quarries in NC, NH, MN & PQ","","2028"
"Limestone flooring / Polycor Natural Stone / All limestone products / 1/2"" thickness","","POL-20230213-002","Polycor Natural Stone","Stone","Polycor Natural Stone","Includes quarries in North America & France, processed in Indiana","","2028"
"Marble flooring / Polycor Natural Stone / All marble products / 1/2"" thickness","","POL-20230213-003","Polycor Natural Stone","Stone","Polycor Natural Stone","Includes two quarries in North America, processed in Georgia","","2028"
"Carpet / [BEAM Avg]","","","","Carpet","DATABASE AVERAGE","","",""
"Carpet / Interface / CQUEST BioX / 1.5 mm Modular tile carpet","","4788873607.102.1","","Carpet","Interface","Cquest BioX","1.5 mm Modular tile carpet","2025"
"Carpet / Patcraft / Ecoworx carpet tiles with Needlebond polyester Face fiber / 3.71 mm","","4789796942.128.2","Patcraft","Carpet","Patcraft","Ecoworx carpet tiles","Needlebond polyester Face fiber, 3.71 mm tile ","2026-04-01"
"Carpet / Shaw / Residential Broadloom","","4789796942.139.1","Shaw Flooring","Carpet","Shaw Flooring","Residential Broadloom","","2026"
"Carpet / Shaw / Residential Broadloom with ClearTouch Platinum","","4789796942.140.1.1","Shaw Flooring","Carpet","Shaw Flooring","Residential Broadloom with ClearTouch Platinum","","2026"
"Carpet / Shaw / Strataworx / Carpet tile","","4789796942.141.1","Shaw Flooring","Carpet","Shaw Flooring","Strataworx","Carpet tile","2026"
"Carpet / Shaw / StrataWorx Carpet tile witn Nylon-6 Face Fiber / 5.7 mm","","4789796942.141.1","Shaw","Carpet","Shaw","StrataWorx Carpet tile witn Nylon-6 Face Fiber","5.7 mm","2026-04-01"
"Carpet / Venture Carpet / Average Product - Nylon 2520 Yarn System / 3.5 mm Modular Carpet","","4029-8012","Venture Carpets","Carpet","Venture Carpet ","Average Product - Nylon 2520 Yarn System","3.5 mm nylon 6 yarn Modular Carpet","2023-11-18"
"Carpet / Venture Carpet / Average Product - Polypropylene Yarn System / 3.5 mm Modular Carpet","","4029-8012","Venture Carpets","Carpet","Venture Carpet ","Average Product - Polypropylene Yarn System","3.5 mm Modular Carpet","2023-11-18"
"Carpet / Venture Carpet / Polyester Yarn System / 10.0 mm Modular Carpet","","4029-8012","Venture Carpets","Carpet","Venture Carpet ","Polyester Yarn System","10.0 mm Modular Carpet","2023-11-18"
"Carpet / Venture Carpet / Recycled nylon 6 yarn system / 3.5 mm Modular Carpet","","4029-8012","Venture Carpets","Carpet","Venture Carpet ","Recycled nylon 6 yarn system","3.5 mm Modular Carpet","2023-11-18"
"Cedar Siding / Western Red Cedar Lumber Assn / 1x6 Boards [Industry Avg | CA]","","2016-06-01","","Cedar Siding","Western Red Cedar Lumber Assn","","1x6 Boards","2021"
"Cellulose / batt / CMS / EcoCell / R 3.6-inch","","CIM – 20191223 – 001 ","","Cellulose - batt","CMS","EcoCell","R 3.6/inch","2024"
"Cellulose / batt / Ekovilla / Ekovilla Slab / R3.7-inch [EU]","","S-P-08315","Ekovilla","Cellulose - batt","Ekovilla","Ekovilla Slab ","R 3.7/inch","2028"
"Cellulose / dense pack / CIMA / R 3.7-inch / [Industry Avg | US & CA]","","CIM – 20191223 – 001 ","CIMA - Cellulose Insulation Manufacturers Association","Cellulose - dense pack","CIMA","Includes AFT, Applegate, Can-Cell, Cell-Pak, Cleanfiber, Climatizer, Fiberlite, Igloo, ICC, Mason City, Nu-Wool, Soprema, Thermo-Kool","R 3.7/inch","2024-12-23"
"Cellulose / loose fill / CIMA / R 3.7-inch / [Industry Avg | US & CA] ","07 21 23","CIM – 20191223 – 001 ","CIMA - Cellulose Insulation Manufacturers Association","Cellulose - loose fill","CIMA","Includes: AFT, Applegate, Can-Cell, Cell-Pak, Cleanfiber, Climatizer, Fiberlite, Igloo, ICC, Mason City, Nu-Wool, Soprema, Thermo-Kool","R 3.7/inch","2024-12-23"
"Cellulose / dense pack / Advanced Fiber Technology / AFT Carbon Smart / 56 kg/m3 / R3.8-inch ","","AFT-20200701-001","Advanced Fiber Technology","Cellulose - dense pack","Advanced Fiber Technology","AFT Carbon Smart","R 3.8-inch","2025"
"Cellulose / loose fill / Advanced Fiber Technology / AFT Carbon Smart / 25.2 kg/m3 / R3.8-inch","","AFT-20200701-001","Advanced Fiber Technology","Cellulose - loose fill","Advanced Fiber Technology","AFT Carbon Smart","R 3.8-inch","2025"
"Cellulose / dense pack / Greenfiber / Sanctuary / Avg of all facilties / 56.1 kg/m3 / R3.8-inch ","","AGG-20221209-001","Greenfiber","Cellulose - dense pack","Greenfiber","Sanctuary","Avg of all facilties / R3.8/inch / 56.1 kg/m3","2027"
"Cellulose / loose fill / Greenfiber / Sanctuary / Avg of all facilties / 17.1 kg/m3 / R3.8-inch ","","AGG-20221209-001","Greenfiber","Cellulose - loose fill","Greenfiber","Sanctuary","Avg of all facilties / R3.8/inch / 17.1 kg/m3","2027"
"Cellulose / spray applied / International Cellulose Corp. / K-13, ThermoCon / R 3.75-inch","","ICC – 20200122– 001","","Cellulose - spray applied","International Cellulose Corp.","K-13, ThermoCon","R 3.75/inch","2025"
"Cement board / 5/8"" (16 mm) / Durock with EdgeGuard / USG (Baltimore, MD plant)","","EPD-132","","Cement board","USG (Baltimore, MD plant)","Durock with EdgeGuard","5/8"" (16 mm)","2025"
"Cement board / 1/2"" (13 mm) / Durock with EdgeGuard / USG (Baltimore, MD plant)","","EPD-132","","Cement board","USG (Baltimore, MD plant)","Durock with EdgeGuard","1/2"" (13 mm)","2025"
"Cement board / 1/4"" (6 mm) / Durock with EdgeGuard / USG (Baltimore, MD plant)","","EPD-132","","Cement board","USG (Baltimore, MD plant)","Durock with EdgeGuard","1/4"" (6 mm)","2025"
"Ceramic tile / Crossville / Porcelain / Standard grade (mortar included)","","4788863727.101.1 ","","Ceramic tile","Crossville","Porcelain","Standard grade","2024"
"Ceramic tile / Tile Council of North America/ 18.8 kg/m2 / [Industry Avg | US & CA] ","","4789101745.101.1","Tile Council of North America","Ceramic tile","Tile Council of North America","Includes: American Wonder, Arto, Crossville, Dal-Tile, Del Conca USA, Florida Tile, Interceramic, Ironrock, Porcelanite-Lamosa, Portobello Tile, Quarry Tile, StonePeak Ceramics, Vitromex USA","Industry average. ","2025"
"Ceramic tile / American Wonder Porcelain / Porcelain - recycled content / Standard and Second grade /","","EPD10277","American Wonder Porcelain","Ceramic tile","American Wonder Porcelain","Procelain - recycled content","Standard and Second grade","2024-12-06"
"Ceramic tile / Fireclay Tile / Ceramic / Standard and Second grade /","","EPD10355","Fireclay Tile","Ceramic tile","Fireclay Tile","Ceramic - recycled content","Standard and Second grade","2025-05-22"
"Clay roof tiles / HISPALYT / [Industry Avg | Spain]","","GlobalEPD-RCP-008-001","Spanish Association of Clay Brick and Roofing Tile Manufacturers (HISPALYT)","Clay roof tiles","HISPALYT","","","2022"
"CMU - Light weight / 8"" Light weight blocks / 15 MPa, 390 x 190 x 190 mm / CCMPA East Region [Industry Avg | CA]","","EPD-338","Canadian Concrete Masonry Producers Assn","CMU - Light weight","Canadian Concrete Masonry Producers Assn, East Region","8"" Light weight blocks","390 x 190 x 190 mm","2027-09-06"
"CMU - Light weight / 8"" Light weight blocks / 15 MPa, 390 x 190 x 190 mm / CCMPA West Region [Industry Avg | CA]","","EPD-338","Canadian Concrete Masonry Producers Assn","CMU - Light weight","Canadian Concrete Masonry Producers Assn, West Region","8"" Light weight blocks","390 x 190 x 190 mm","2027-09-06"
"CMU - Normal weight / 8"" Normal weight blocks / 15 MPa, 390 x 190 x 190 mm / CCMPA East Region [Industry Avg | CA]","","EPD-338","Canadian Concrete Masonry Producers Assn","CMU - Normal weight","Canadian Concrete Masonry Producers Assn, East Region","8"" Normal weight blocks","390 x 190 x 190 mm","2027"
"CMU - Normal weight / 8"" Normal weight blocks / 15 MPa, 390 x 190 x 190 mm / CCMPA West Region [Industry Avg | CA]","","EPD-338","Canadian Concrete Masonry Producers Assn","CMU - Normal weight","Canadian Concrete Masonry Producers Assn, West Region","8"" Normal weight blocks","390 x 190 x 190 mm","2027"
"CMU - Light weight / Brampton Brick (Boehmers) / 8"" CarboClave Block  / 8 x 8 x 16 ","","EPD-088","Boehmers","CMU - Normal weight","Brampton Brick (Boehmers)","8"" CarboClave Block","8 x 8 x 16 ","2024-01-07"
"CMU - Normal weight / Brampton Brick (Boehmers) / 8"" CarboClave Block  / 8 x 8 x 16 ","","EPD-088","Boehmers","CMU - Normal weight","Brampton Brick (Boehmers)","8"" CarboClave Block","8 x 8 x 16 ","2024-01-07"
"Earthen Floor / Cast-in-place / Clay, sand, and straw / 4"" (100 mm) [US]","","Ben-Alon et al LCA, 2019","","Cob Floor","Site made","","4"" thick = 3"" cob, 1"" clay plaster",""
"Cob wall / Site mixed / 18"" (457 mm) avg. thickness [US]","","Ben-Alon et al LCA, 2019","","Cob wall","Site mixed","","18"" (457 mm) avg. thickness",""
"Composite sheathing panel / James Hardie Europe / Fermacell / 12.5mm [EU]","","EPD-JAM-20220072-CBD1-EN","James Hardie Europe GmbH","Composite sheathing panel ","James Hardie Europe GmbH","fermacell® ","12.5 mm","2027-10-16"
"Composite sheathing panel / Honext / Fire resistant panel / 12 mm [EU]","","GlobalEPD EN15804-036","Honext Material SL","Composite sheathing panel ","Honext Material SL","Fire resistant panel","12 mm","2028"
"Composite sheathing panel / Continuus Materials / Everboard / Fiberglass facing / 1/2-inch","","SCS-EPD-06489","Continuus Materials","Composite sheathing pane","Continuus Materials","Everboard Fiberglass facing","1/2""","2025"
"Composite sheathing panel / Continuus Materials / Everboard / Paper facing / 1/2-inch","","SCS-EPD-06489","Continuus Materials","Composite sheathing pane","Continuus Materials","Everboard / Paper facing","1/2""","2025"
"Composite cladding / Fiberon / Wildwood Cladding / 3/4""","","SCS-EPD-08200","Fiber Composites LLC","Composite cladding","Fiberon","Wildwood Cladding","3/4""","2027"
"Composite cladding / Modern Mill / ACRE Cladding / 3/4""","","SCS-EPD-08391","Modern Mill","Composite cladding","Modern Mill","ACRE Cladding","3/4""","2027"
"Compressed earth block wall / Briques Technic Concept - Cycle terre / Stabilized with 3.7% NHL / 300mm (11 13/16"") width, incl. mortar [EU]","","20220329507","BRIQUES TECHNIC CONCEPT","Compressed earth block wall","Briques Technic Concept - Cycle terre","Stabilized with 3.7% NH","300mm (11 13/16"") width, incl. mortar ","2026-10-01"
"Compressed earth block wall / Briques Technic Concept - Cycle terre / Stabilized with 0.2% NHL - 2.2% CEM III / 100mm (4"") width, incl. mortar [EU]","","176277033092021","BRIQUES TECHNIC CONCEPT","Compressed earth block wall","Briques Technic Concept - Cycle terre","Stabilized with 0.2% NHL - 2.2% CEM III ","100mm (4"") width, incl. mortar ","2026-10-01"
"Compressed earth block wall / Factory made / Stabilized with 6.5% NHL / 150 mm (5-7/8"") width [EU]","","Fernandes et al LCA, 2019","","Compressed earth block wall","Factory made","Stabilized with 6.5% NHL","11.8"" x 5.9"" x 2.75"" (300 x 150 x 70 mm) block",""
"Compressed earth block floor / Factory made / Stabilized with 6.5% NHL / 2-3/4"" (70 mm) [EU]","","Fernandes et al LCA, 2019","","Compressed earth block floor","Factory made","Stabilized with 6.5% NHL","11.8"" x 5.9"" x 2.75"" (300 x 150 x 70 mm) block",""
"Straw Board / R 2.0-inch [BEAM Avg] ","","CENIA 01.03.2024, CENIA 01.03.2023, S-P-10940, B-EPD n° 21-0123-002-00.00-EN ","","Compressed straw board","","","[Product Avg] / R 3.6/inch",""
"Compressed straw board / Ekopanely / Ekopanel E60-1200 / 60 mm / R1.45-inch [EU]","","CENIA 01.03.2024","Ekopanely","Compressed straw board","Ekopanely","Ekopanel E60-1200","60 mm x 1200 mm x 1200-3200 mm","2028"
"Compressed straw board/ Ekopanely / Ekopanel E40-800 / 40 mm / R1.45-inch [EU]","","CENIA 01.03.2023","Ekopanely","Compressed straw board","Ekopanely","Ekopanel E40-800 / 40 mm","40 mm x 800 mm x 1200-3200 mm","2028"
"Compressed straw board / Durra Panel / Durra Wall & Ceiling Panels / 50 mm / R1.8-inch","","S-P-10940","Ortech Industries","Straw panel","Durra Panel","Durra Wall & Ceiling Panels","50 mm","2029"
"Straw board / VestaEco Straw Insulation Boards 140 / R 4-inch  [EU]","","B-EPD n° 21-0123-002-00.00-EN ","VestaEco COMPOSITES Sp. z o.o.","Straw board","VestaEco COMPOSITES Sp. Z o.o","VestaEco Straw Insulation Boards 140","40 - 200 mm / R4-inch","2026-03-17"
"Concrete – 0-25 MPa, Canadian Benchmark Average / CRMCA [Industry Avg | CA]","","EPD10092","","Concrete - 0-25 MPa, Canadian Benchmark Average","CRMCA","Can. Avg.","","01-2022"
"Concrete – 0-25 MPa, 0-14% FA/SL, GU / CRMCA [Industry Avg | CA]","","EPD10092","","Concrete - 0-25 MPa, 0-14% FA/SL, GU","CRMCA","Can. Avg.","","01-2022"
"Concrete – 0-25 MPa, 15-29% Fly Ash, GU / CRMCA [Industry Avg | CA]","","EPD10092","","Concrete - 0-25 MPa, 15-29% Fly Ash, GU","CRMCA","Can. Avg.","","01-2022"
"Concrete – 0-25 MPa, 25-34% Slag, GU / CRMCA [Industry Avg | CA]","","EPD10092","","Concrete - 0-25 MPa, 25-34% Slag, GU","CRMCA","Can. Avg.","","01-2022"
"Concrete – 0-25 MPa, 30-40% Fly Ash, GU / CRMCA [Industry Avg | CA]","","EPD10092","","Concrete - 0-25 MPa, 30-40% Fly Ash, GU","CRMCA","Can. Avg.","","01-2022"
"Concrete – 0-25 MPa, 35-50% Slag, GU / CRMCA [Industry Avg | CA]","","EPD10092","","Concrete - 0-25 MPa, 35-50% Slag, GU","CRMCA","Can. Avg.","","01-2022"
"Concrete – 26-30 MPa, Canadian Benchmark Average / CRMCA [Industry Avg | CA]","","EPD10092","","Concrete – 26-30 MPa, Canadian Benchmark Average","CRMCA","Can. Avg.","","01-2022"
"Concrete – 26-30 MPa, 0-14% FA/SL, GU / CRMCA [Industry Avg | CA]","","EPD10092","","Concrete – 26-30 MPa, 0-14% FA/SL, GU","CRMCA","Can. Avg.","","01-2022"
"Concrete – 26-30 MPa, 15-29% Fly Ash, GU / CRMCA [Industry Avg | CA]","","EPD10092","","Concrete – 26-30 MPa, 15-29% Fly Ash, GU","CRMCA","Can. Avg.","","01-2022"
"Concrete – 26-30 MPa, 25-34% Slag, GU / CRMCA [Industry Avg | CA]","","EPD10092","","Concrete – 26-30 MPa, 25-34% Slag, GU","CRMCA","Can. Avg.","","01-2022"
"Concrete – 26-30 MPa, 30-40% Fly Ash, GU / CRMCA [Industry Avg | CA]","","EPD10092","","Concrete – 26-30 MPa, 30-40% Fly Ash, GU","CRMCA","Can. Avg.","","01-2022"
"Concrete – 26-30 MPa, 35-50% Slag, GU / CRMCA [Industry Avg | CA]","","EPD10092","","Concrete – 26-30 MPa, 35-50% Slag, GU","CRMCA","Can. Avg.","","01-2022"
"Concrete – 31-35 MPa, Canadian Benchmark Average / CRMCA [Industry Avg | CA]","","EPD10092","","CONCRETE – 31-35 MPa – CANADA, Canadian Benchmark Average","CRMCA","Can. Avg.","","01-2022"
"Concrete – 31-35 MPa, 0-14% FA/SL, GU / CRMCA [Industry Avg | CA]","","EPD10092","","CONCRETE – 31-35 MPa – CANADA, 0-14% FA/SL, GU","CRMCA","Can. Avg.","","01-2022"
"Concrete – 31-35 MPa, 15-29% Fly Ash, GU / CRMCA [Industry Avg | CA]","","EPD10092","","CONCRETE – 31-35 MPa – CANADA, 15-29% Fly Ash, GU","CRMCA","Can. Avg.","","01-2022"
"Concrete – 31-35 MPa, 25-34% Slag, GU / CRMCA [Industry Avg | CA]","","EPD10092","","CONCRETE – 31-35 MPa – CANADA, 25-34% Slag, GU","CRMCA","Can. Avg.","","01-2022"
"Concrete – 31-35 MPa, 30-40% Fly Ash, GU / CRMCA [Industry Avg | CA]","","EPD10092","","CONCRETE – 31-35 MPa – CANADA, 30-40% Fly Ash, GU","CRMCA","Can. Avg.","","01-2022"
"Concrete – 31-35 MPa, 35-50% Slag, GU / CRMCA [Industry Avg | CA]","","EPD10092","","CONCRETE – 31-35 MPa – CANADA, 35-50% Slag, GU","CRMCA","Can. Avg.","","01-2022"
"Concrete - 0-2500 psi, Standard mix / NRMCA [Industry Avg | US & CA]","","EPD10294","","Concrete - 0-2500 psi, Standard mix","NRMCA","N.A. Avg.","","2024"
"Concrete - 0-2500 psi, 20-29% Fly Ash / NRMCA [Industry Avg | US & CA]","","EPD10294","","Concrete - 0-2500 psi, 20-29% Fly Ash","NRMCA","N.A. Avg.","","2024"
"Concrete - 0-2500 psi, 30-39% FA/SL / NRMCA [Industry Avg | US & CA]","","EPD10294","","Concrete - 0-2500 psi, 30-39% FA/SL","NRMCA","N.A. Avg.","","2024"
"Concrete - 0-2500 psi, 40-49% FA/SL mix / NRMCA [Industry Avg | US & CA]","","EPD10294","","Concrete - 0-2500 psi, 40-49% FA/SL mix","NRMCA","N.A. Avg.","","2024"
"Concrete - 0-2500 psi, >50% SCM mix / NRMCA [Industry Avg | US & CA]","","EPD10294","","Concrete - 0-2500 psi, >50% SCM mix","NRMCA","N.A. Avg.","","2024"
"Concrete - 2501-3000 psi, Standard mix / NRMCA [Industry Avg | US & CA]","","EPD10294","","Concrete - 2501-3000 psi, Standard mix","NRMCA","N.A. Avg.","","2024"
"Concrete - 2501-3000 psi, 20-29% Fly Ash / NRMCA [Industry Avg | US & CA]","","EPD10294","","Concrete - 2501-3000 psi, 20-29% Fly Ash","NRMCA","N.A. Avg.","","2024"
"Concrete - 2501-3000 psi, 30-39% FA/SL / NRMCA [Industry Avg | US & CA]","","EPD10294","","Concrete - 2501-3000 psi, 30-39% FA/SL","NRMCA","N.A. Avg.","","2024"
"Concrete - 2501-3000 psi, 40-49% FA/SL mix / NRMCA [Industry Avg | US & CA]","","EPD10294","","Concrete - 2501-3000 psi, 40-49% FA/SL mix","NRMCA","N.A. Avg.","","2024"
"Concrete - 2501-3000 psi, >50% SCM mix / NRMCA [Industry Avg | US & CA]","","EPD10294","","Concrete - 2501-3000 psi, >50% SCM mix","NRMCA","N.A. Avg.","","2024"
"Concrete - 3001-4000 psi, Standard mix / NRMCA [Industry Avg | US & CA]","","EPD10294","","Concrete - 3001-4000 psi, Standard mix","NRMCA","N.A. Avg.","","2024"
"Concrete - 3001-4000 psi, 20-29% Fly Ash / NRMCA [Industry Avg | US & CA]","","EPD10294","","Concrete - 3001-4000 psi, 20-29% Fly Ash","NRMCA","N.A. Avg.","","2024"
"Concrete - 3001-4000 psi, 30-39% FA/SL / NRMCA [Industry Avg | US & CA]","","EPD10294","","Concrete - 3001-4000 psi, 30-39% FA/SL","NRMCA","N.A. Avg.","","2024"
"Concrete - 3001-4000 psi, 40-49% FA/SL mix / NRMCA [Industry Avg | US & CA]","","EPD10294","","Concrete - 3001-4000 psi, 40-49% FA/SL mix","NRMCA","N.A. Avg.","","2024"
"Concrete - 3001-4000 psi, >50% SCM mix / NRMCA [Industry Avg | US & CA]","","EPD10294","","Concrete - 3001-4000 psi, >50% SCM mix","NRMCA","N.A. Avg.","","2024"
"Concrete - 4001-5000 psi, Standard mix / NRMCA [Industry Avg | US & CA]","","EPD10294","","Concrete - 4001-5000 psi, Standard mix","NRMCA","N.A. Avg.","","2024"
"Concrete - 4001-5000 psi, 20-29% Fly Ash / NRMCA [Industry Avg | US & CA]","","EPD10294","","Concrete - 4001-5000 psi, 20-29% Fly Ash","NRMCA","N.A. Avg.","","2024"
"Concrete - 4001-5000 psi, 30-39% FA/SL / NRMCA [Industry Avg | US & CA]","","EPD10294","","Concrete - 4001-5000 psi, 30-39% FA/SL","NRMCA","N.A. Avg.","","2024"
"Concrete - 4001-5000 psi, 40-49% FA/SL mix / NRMCA [Industry Avg | US & CA]","","EPD10294","","Concrete - 4001-5000 psi, 40-49% FA/SL mix","NRMCA","N.A. Avg.","","2024"
"Concrete - 4001-5000 psi, >50% SCM mix / NRMCA [Industry Avg | US & CA]","","EPD10294","","Concrete - 4001-5000 psi, >50% SCM mix","NRMCA","N.A. Avg.","","2024"
"Concrete – 25 MPa, Quebec Baseline Average / ABQ [Industry Avg | CA]","","EPD 352","Association Beton Quebec","Concrete - 25 MPa, Quebec Baseline Average","ABQ","Can. Quebec Avg.","","2027-07-27"
"Concrete – 25 MPa, 10% SL, GU / ABQ [Industry Avg | CA]","","EPD 352","Association Beton Quebec","Concrete - 25 MPa, 10% SL, GU","ABQ","Can. Quebec Avg.","","2027-07-27"
"Concrete – 25 MPa, 10% FA, GU / ABQ [Industry Avg | CA]","","EPD 352","Association Beton Quebec","Concrete - 25 MPa, 10% FA, GU","ABQ","Can. Quebec Avg.","","2027-07-27"
"Concrete – 25 MPa, 20% SL, GU / ABQ [Industry Avg | CA]","","EPD 352","Association Beton Quebec","Concrete - 25 MPa, 20% SL, GU","ABQ","Can. Quebec Avg.","","2027-07-27"
"Concrete – 25 MPa, 20% FA, GU / ABQ [Industry Avg | CA]","","EPD 352","Association Beton Quebec","Concrete - 25 MPa, 20% FA, GU","ABQ","Can. Quebec Avg.","","2027-07-27"
"Concrete – 25 MPa, 30% SL, GU / ABQ [Industry Avg | CA]","","EPD 352","Association Beton Quebec","Concrete - 25 MPa, 30% SL, GU","ABQ","Can. Quebec Avg.","","2027-07-27"
"Concrete – 25 MPa, 30% FA, GU / ABQ [Industry Avg | CA]","","EPD 352","Association Beton Quebec","Concrete - 25 MPa, 30% FA, GU","ABQ","Can. Quebec Avg.","","2027-07-27"
"Concrete – 25 MPa, 30% FA, GUL / ABQ [Industry Avg | CA]","","EPD 352","Association Beton Quebec","Concrete - 25 MPa, 30% FA, GUL","ABQ","Can. Quebec Avg.","","2027-07-27"
"Concrete – 30 MPa, Quebec Baseline Average / ABQ [Industry Avg | CA]","","EPD 352","Association Beton Quebec","Concrete - 30 MPa, Quebec Baseline Average","ABQ","Can. Quebec Avg.","","2027-07-27"
"Concrete – 30 MPa, 10% SL, GU / ABQ [Industry Avg | CA]","","EPD 352","Association Beton Quebec","Concrete - 30 MPa, 10% SL, GU","ABQ","Can. Quebec Avg.","","2027-07-27"
