"Display Name ACQ wood treatment Synthetic Stucco (Acrylic) [BEAM Avg | US & CA]","EPD Number / Document ID ","EPD ID Bolin & Smith, 2011, LCA Assessment of ACQ-treated lumber, Journal of Cleaner Production ","EPD Owner ","Material ACQ wood treatment Acrylic Stucco Textured Finish","Manufacturer / Organization Sto Corp.","Product Name / Description ","Specifications ","EPD Expiry "
"Wood I joist / RedBuilt / Red-I Joists / Red I-45 / 14"" depth, 1.75 x 1.5"" LVL flanges","","SCS-EPD-07524","Redbuilt LLC","Wood I-joist","RedBuilt","Red I-45","14"" depth, 1.75 x 1.5"" flanges","2026"
"Wood I joist / RedBuilt / Red-I Joists / Red I-45 / 16"" depth, 1.75 x 1.5"" LVL flanges","","SCS-EPD-07524","Redbuilt LLC","Wood I-joist","RedBuilt","Red I-45","14"" depth, 1.75 x 1.5"" flanges","2026"
"Wood I joist / RedBuilt / Red-I Joists / Red I-65 / 11.875"" depth, 2.5 x 1.5"" LVL flanges","","SCS-EPD-07524","Redbuilt LLC","Wood I-joist","RedBuilt","Red I-45","14"" depth, 1.75 x 1.5"" flanges","2026"
"Wood I joist / RedBuilt / Red-I Joists / Red I-65 / 14"" depth, 2.5 x 1.5"" LVL flanges","","SCS-EPD-07524","Redbuilt LLC","Wood I-joist","RedBuilt","Red I-45","14"" depth, 1.75 x 1.5"" flanges","2026"
"Wood I joist / RedBuilt / Red-I Joists / Red I-65 / 16"" depth, 2.5 x 1.5"" LVL flanges","","SCS-EPD-07524","Redbuilt LLC","Wood I-joist","RedBuilt","Red I-45","14"" depth, 1.75 x 1.5"" flanges","2026"
"Wood tube studs / Wood Tube // 1.5 x 2.5"" / Recycled paper, stud only [EU]","","S-P-10277","Wood Tube Sweden","Recycled paper","Wood Tube Sweden","Wood Tube","1.5 x 2.5""","2024"
"Wood roof truss / Gable Roof, Double Howe, 2x6 Chords, 2x4 Webs, 4:12 Pitch / QWEB [Industry Avg | CA]","","EPD 3409-8229","","Wood roof truss","Quebec Wood Export Bureau","Common (Double Howe) Gable Roof","2x6 Chords, 2x4 Webs, 4:12 Pitch, 40 ft span, 20"" overhang","2022"
"Wood wool boards / Armstrong / Tectum ceiling & wall boards / 2"" ","","EPD 354","Armstrong  ","Wood wool boards","Armstrong  ","Tectum","2""","2027"
"Wood cladding / BurntWood / ReUse with linseed oil treatment / 18 mm [EU]","","MD-22122-EN","OkoTomerer","Wood cladding","BurntWood","ReUse with linseed oil treatment","18 mm","2028"
"Wood cladding / BurntWood / ReUse without surface treatment / 18 mm [EU]","","MD-22122-EN","OkoTomerer","Wood cladding","BurntWood","ReUse without surface treatment","18 mm","2028"
"Wool Loose-fill / Havelock Wool / Loose-fill / R 4.4-inch","","HW-20200605-001","Havelock Wool","Wool loose fill","Havelock Wool","","R 4.4/inch","2025-06-05"
"Wool batt / R 3.8 /inch [BEAM Avg ]","","","","Wool batt","Havelock Wool, Thermafleece, Thermafleece, ISOLENA","","R 5.0/inch",""
"Wool batt / Havelock Wool / Batts / R 3.6-inch","","HW-20200605-001","Havelock Wool","Wool batt","Havelock Wool","","R 3.6/inch","2025-06-05"
"Wool batt / Thermafleece / Cosywool Slab / R3.8-inch [EU]","","S-P-04468","Eden Renewable Innovations Ltd","Wool batt","Thermafleece","Cosywool Slab (batt)","R3.8/inch","2026"
"Wool batt / Thermafleece / Cosywool Roll / R3.7-inch [EU]","","S-P-04468","Eden Renewable Innovations Ltd","Wool batt","Thermafleece","Cosywool Roll","R3.7/inch","2026"
"Wool batt / ISOLENA / Optimal batt / 5.5 inch / R 3.8-inch [EU]","","None","ISOLENA Naturfaservliese","Wool batt","ISOLENA","Optimal batt ","5.5 inch / R 3.8-inch","2028"
"Wool batt / Thermafleece / UltraWool Slab / R4.1-inch [EU]","","S-P-04468","Eden Renewable Innovations Ltd","Wool batt","Thermafleece","UltraWool Slab (batt) ","R4.1-inch","2026"
"XPS foam board / Owens Corning / Foamular 250 / HFC-filled / R 5.0-inch, 25 psi [MEXICO]","","4788721182.101.1","","XPS foam board","Owens Corning","Foamular 250  (Legacy)","R 5.0/inch","2024"
"XPS foam board / DuPont / Styrofoam / HFC-filled / R 5.6-inch, 25 psi","","4789559274.101.1","","XPS foam board","DuPont","Styrofoam (Blue) (Legacy)","R 5.6/inch","2026-01-01"
"XPS foam board / DuPont / Styrofoam / Reduced GWP / R 5.6-inch, 25 psi","","4789559274.102.1","","XPS foam board","DuPont","Styrofoam (Grey, Reduced GWP)","R 5.6/inch","2026-01-01"
"XPS foam board / R 5.0/inch [BEAM Avg | US & CA]","","SCS-EPD-09753, 4789868895.101.1","","XPS foam board","Owens Corning, DuPont, Soprema, Kingspan","","R 5.0/inch","2029"
"XPS foam board / Owens Corning / Foamular NGX 250 / R 5.0/inch, 25 psi","","SCS-EPD-09753","Owens Corning","XPS foam board","Owens Corning","Foamular NGX 250","R 5.0/inch, 25 psi","2029"
"XPS foam board / DuPont / Styrofoam ST-100 / R 5.0-inch, 25 psi","","4789868895.101.1","","XPS foam board","DuPont","Styrofoam ST-100","R 5.0/inch","2026-07-01"
"XPS foam board / SOPREMA / SOPRA-XPS (entire product line) / R 5.0-inch","","EPD-283","SOPREMA","XPS foam board","Soprema","SOPRA-XPS (entire product line)","R 5.0/inch","2026-12-15"
"XPS foam board / Kingspan / GreenGuard Type IV, Low GWP / R 5.0-inch, 25 psi","","SCS-EPD-07175","Kingspan Insulation","XPS foam board","Kingspan","GreenGuard Type IV","R 5.0-inch, 25 psi","2026"
"XPS foam board / Owens Corning / Foamular NGX CodeBord/C200 / R 5/inch, 20 psi","","SCS-EPD-09753","Owens Corning","XPS foam board","Owens Corning","Foamular NGX CodeBord/C200","R 5.0/inch, 20 psi","2029"
