"","","","","ID for →","Materials options by VOLUME – m³","ID for →","Material options by SURFACE AREA – m²","ID for →","Material options by Length - m","ID for →","Material options by R-VALUE & AREA - m²•RSI","","Province/State","Country","USER INPUT Building Type","Construction Type","Construction Stage","Purpose of Evaluation","List of countries","Province for Country Selected","","Sheet Name","Text Color","BG Color","Full Sheet Name"
"","","","","38d491","Concrete – 26-30 MPa, 15-29% Fly Ash, GU / CRMCA [Industry Avg | CA]","RLB00X","Roof Deck Liquid Applied Barrier / [BEAM Avg]","REB006","Rebar / Concrete Reinforcing Steel Institute / 98% recycled, EAF / [Industry Avg | N.America] / #6","INS001","Compressed straw board / Ekopanely / Ekopanel E60-1200 / 60 mm / R1.45-inch [EU]","","Saskatchewan","Canada","Hospitality","","","Other","Austria","Hawaii","","Roof","#3f3f3f","#dadada","ROOF"
"","","","","a6839d","Concrete – 26-30 MPa, 25-34% Slag, GU / CRMCA [Industry Avg | CA]","CSB00X","Ceiling Sheet Barrier / [BEAM Avg]","REB007","Rebar / Concrete Reinforcing Steel Institute / 98% recycled, EAF / [Industry Avg | N.America] / #7","INS002","Compressed straw board/ Ekopanely / Ekopanel E40-800 / 40 mm / R1.45-inch [EU]","","Yukon","Canada","Industrial","","","","Azerbaijan","Idaho","","Garage","#ffffff","#45818e","GARAGE"
"","","","","814de3","Concrete – 26-30 MPa, 30-40% Fly Ash, GU / CRMCA [Industry Avg | CA]","bbb000","Int. Wall & Ceiling Barrier, sheet / Rothoblaas / Vapor In Green 200 / Non-permeable / 0.35 mm / EU","REB008","Rebar / Concrete Reinforcing Steel Institute / 98% recycled, EAF / [Industry Avg | N.America] / #8","INS000","Straw board / VestaEco Straw Insulation Boards 140 / R 4-inch  [EU]","","Alabama","United States","Agricultural","","","","Bahamas","Illinois","","","","",""
"","","","","b1d6d5","Concrete – 26-30 MPa, 35-50% Slag, GU / CRMCA [Industry Avg | CA]","bbb001","Ext. & Int. Wall & Roof Barrier, sheet / Rothoblaas / Clima Control Net 160 / Moisture-variable / 0.5 mm / EU","l2jfis","Rebar / Nucor Corporation / 10M","CBI000","Cork board insulation / Amorim  / Expanded Insulation Corkboard (ICB) / R3.6-inch, 115 kg/m3 [EU]","","Alaska","United States","Data centre","","","","Bahrain","Indiana","","","","",""
"","","","","dad6dc","Concrete – 31-35 MPa, Canadian Benchmark Average / CRMCA [Industry Avg | CA]","bbb002","Ext. & Int. Wall & Roof Barrier, sheet / Rothoblaas / Traspir EVO 160 / 12.3 Perms / 0.5 mm / EU","a03cls","Rebar / Nucor Corporation / 15M","INS010","Grass Insulation / Gramitherm 100 batt / R3.5-inch [EU]","","Arizona","United States","Recreational","","","","Bangladesh","Iowa","","REVIEW","#3f3f3f","#ffff65","REVIEW"
"","","","","ad41fc","Concrete – 31-35 MPa, 0-14% FA/SL, GU / CRMCA [Industry Avg | CA]","bbb003","Ext. & Int. Wall & Roof Barrier, sheet / Rothoblaas / Traspir Vapor 225 / Non-permeable / 0.8 mm / EU","sdf38s","Rebar / Nucor Corporation / 20M","EPS003","EPS foam board / Type I / R 3.6-inch, 10 psi / EPS Industry Alliance [Industry Avg | US & CA]","","Arkansas","United States","Mixed use","","","","Barbados","Kansas","","RESULTS","#3f3f3f","#92d050","RESULTS"
"","","","","cfa664","Concrete – 31-35 MPa, 15-29% Fly Ash, GU / CRMCA [Industry Avg | CA]","bbb004","Ext. & Int. Wall Barrier, sheet / Rothoblaas / Traspir 110 / 101 Perms / 0.4 mm / EU","fdk49v","Rebar / Nucor Corporation / #3","EPS002","EPS foam board / Type II / R 4.0-inch, 15 psi / EPS Industry Alliance [Industry Avg | US & CA]","","California","United States","Other","","","","Belarus","Kentucky","","","","",""
"","","","","43fc51","Concrete – 31-35 MPa, 25-34% Slag, GU / CRMCA [Industry Avg | CA]","bbb005","Ext. & Int. Wall Barrier, sheet / Rothoblaas / Traspir EVO UV 210 / 41.7 Perms / 0.3 mm / EU","bomxc2","Rebar / Nucor Corporation / #4","EPS001","EPS foam board / Type IX / R 4.2-inch, 25 psi / EPS Industry Alliance [Industry Avg | US & CA]","","Colorado","United States","","","","","Belgium","Louisiana","","","","",""
"","","","","dac0ae","Concrete – 31-35 MPa, 30-40% Fly Ash, GU / CRMCA [Industry Avg | CA]","bbb006","Ext. Roof Barrier, sheet / Rothoblaas / Traspir Weld EVO 360 / 17.5 Perms / 1.0 mm / EU","1cgews","Rebar / Nucor Corporation / #5","EPS000","EPS foam board / Type XV / R 4.3-inch, 60 psi / EPS Industry Alliance [Industry Avg | US & CA]","","Connecticut","United States","","","","","Belize","Maine","","","","",""
"","","","","1ea5e4","Concrete – 31-35 MPa, 35-50% Slag, GU / CRMCA [Industry Avg | CA]","bbb007","Ext. Wall & Roof Barrier, adhesive / Partel / Exoperm Mono SA 250 / Permeable / EU","3vwqxf","Rebar / Nucor Corporation / #6","EPS004","EPS foam board with graphite / BASF  / Neopor F 5200 Plus / R 4.7-inch, Type IX, 25 psi","","Delaware","United States","","","","","Benin","Maryland","","","","",""
"","","","","949348","Concrete - 0-2500 psi, Standard mix / NRMCA [Industry Avg | US & CA]","bbb008","Ext. Wall & Roof Barrier, liquid applied / Carlisle / Barrithane VP / 11.1 Perms, 40 mils","g42xas","Rebar / Nucor Corporation / #7","EPS005","EPS foam board with graphite / BASF / Neopor F 5200 Plus / R 4.7-inch, Type II, 15 psi (Type 2, 110 kPa)","","District of Columbia","United States","","","","","Bermuda","Massachusetts","","","","",""
"","","","","b7e1fe","Concrete - 0-2500 psi, 20-29% Fly Ash / NRMCA [Industry Avg | US & CA]","bbb009","Ext. Wall & Roof Barrier, sheet / Dupont / Tyvek Monolayer 60 / Permeable / EU","3fxswa","Rebar / Nucor Corporation / #8","EPS006","EPS foam board with graphite / BASF / Neopor F 5200 & F 5300 Plus BMB / R 4.7-inch, Type IX, 25 psi (Type 9, 175 kPa)","","Florida","United States","","","","","Bhutan","Michigan","","","","",""
"","","","","d6132a","Concrete - 0-2500 psi, 30-39% FA/SL / NRMCA [Industry Avg | US & CA]","bbb010","Ext. Wall & Roof Barrier, sheet / Partel / Exoperm Mono 150 / Permeable / EU","b8ldec","Rebar / ArcelorMittal Long Products Canada / 10M","EPS007","EPS foam board with graphite / BASF / Neopor F 5200 & F 5300 Plus BMB  / R 4.7-inch, Type II, 15 psi (Type 2, 110 kPa)","","Georgia","United States","","","","","Bolivia","Minnesota","","","","",""
"","","","","921b8b","Concrete - 0-2500 psi, 40-49% FA/SL mix / NRMCA [Industry Avg | US & CA]","bbb011","Ext. Wall barrier, adhesive / GCP / Perm-a-Barrier / Non-permeable, 1 mm","kb2gox","Rebar / ArcelorMittal Long Products Canada / 15M","INS005","Fiberglass batt / NAIMA /  R 4.4-inch [Industry Avg | N.America]","","Hawaii","United States","","","","","Bosnia And Herzegovina","Mississippi","","","","",""
"","","","","1a5a48","Concrete - 0-2500 psi, >50% SCM mix / NRMCA [Industry Avg | US & CA]","bbb012","Ext. Wall Barrier, adhesive / Soprema / SOPRASEAL STICK 1100 T / Non-permeable / 1.0 mm","l29vks","Rebar / ArcelorMittal Long Products Canada / 20M","INS006","Fiberglass batt / Johns Manville / Unfaced, ComfortTherm, Cavity-SHIELD, FSK-25 / R 3.4-inch","","Idaho","United States","","","","","Botswana","Missouri","","","","",""
"","","","","43fe24","Concrete - 2501-3000 psi, Standard mix / NRMCA [Industry Avg | US & CA]","bbb013","Ext. Wall Barrier, adhesive / Soprema / SOPRASEAL STICK VP / 11-17 Perms / 0.6 mm","STR000","Structural Steel / L-Angle / L 3.5 x 3.5 x 1/4""/ AISC [Industry Avg | US]","INS048","Fiberglass batt & roll / Owens Corning / Unfaced, PINK Next Gen Fiberglas / R 3.6-inch avg.","","Illinois","United States","","","","","Brazil","Montana","","","","",""
