,CEILINGS,,,,,,,,,,,,
,"PROJECT NAME:    Sample Project DOE Prototype
SCENARIO:              Baseline
BEAM VERSION:     V1.1",SECTION COMPLETE?,False,,,,341   ,341   ,0   ,0   ,,,T10
"
Select materials in your project using the checkboxes (col. G). Once selected, the emissions of these materials will be added to the section SUBTOTAL (G2) and to the project total. 

The NET CARBON column (col. H) presents the net material carbon emissions (EMISSIONS minus STORAGE) of each material based on the QUANTITY and PERCENTAGE entered. 

Where applicable, the R-VALUE, THICKNESS, FRAMING SPACING, etc. must be entered in the AVACADO GREEN cells.

Update the PERCENTAGE value (col. E) as appropriate. Understand that the carbon values will only update for that row, after which comparison with other rows may no longer be valid.
",,,,,,,,,,,,,
CATEGORY,MATERIAL,QUANTITY,UNITS,%,,SELECT,"NET
EMISSIONS
kg CO₂e","GROSS
EMISSIONS
kg CO₂e","STORAGE
Short Cycle
kg CO₂🤚","STORAGE
Long Cycle
kg CO₂ 🤚","SELECT
Long Cycle",FOOTNOTE,ID
,"Eelgrass accoustic board / Søuld ApS / Søuld Acoustic Mats / Flame retardant, NRC 0.90 [EU]",110.4,m²,1.0,,False,-150.285312,299.93472,450.220032,0,,Expired 2026-02-08; BfCA BioC calc by mass,T10|C01|S05|sl3g0r
,Straw board sheathing / VestaEco Straw Boards 280 / 30 mm [EU],110.4,m²,1.0,,False,-312.8165617,870.6793879,1183.49595,0,,,T10|C01|S05|int009
,"Bamboo plywood / Smith & Fong / Plyboo / 1/2"" (uncarved) ",110.4,m²,1.0,,False,-1081.824079,350.52,1432.344079,0,,BfCA BioC calc by mass,T10|C01|S05|BAM002
,"Bamboo plywood / Smith & Fong / Plyboo / 3/4"" (uncarved) ",110.4,m²,1.0,,False,-1619.210831,524.4,2143.610831,0,,BfCA BioC calc by mass,T10|C01|S05|BAM003
INTERIOR FINISH PLASTER,,,,,,,,,,,,,T10|C01|S06
,"Cement ""Stucco"" Plaster / 1:1:4 mix of Portland, masonry cement, sand @ 1/2"" [Industry Avg | US & CA]",110.4,m²,1.0,,False,1104.492259,1104.492259,0,0,,Custom BEAM assembly,T10|C01|S06|d201fq
,"Lime Plaster, NHL 3.5 / Kerakoll / Biocalce Intonaco line @ 2 cm [EU]",110.4,m²,1.0,,False,1130.9376,1130.9376,0,0,,Expired 2024-07-26,T10|C01|S06|g1g2cs
,"Cement ""Stucco"" Plaster / Sto SE / Pre-mixed rendering & plastering mortar with reinforcing fiber / 1/2"" [EU]",110.4,m²,1.0,,False,971.361024,971.361024,0,0,,,T10|C01|S06|STU000
,"Cement ""Stucco"" Plaster / Beissier / Premixed Mortar @ 1/2"" [EU]",110.4,m²,1.0,,False,585.087984,585.087984,0,0,,Expired 2026-03-15,T10|C01|S06|p3m1f1
,"Clay Plaster, site mixed / 15 mm (9/16"") [EU]",110.4,m²,1.0,,False,97.152,97.152,0,0,,"LCA, 2014",T10|C01|S06|2ecd60
CEILINGS STRAPPING,,STRAPPING SPACING:,,in,,,,,,,,,T10|C04
WOOD STRAPPING,,,,,,,,,,,,,T10|C04|S01
,Wood / SPF / 1x4 Lumber / AWC & CWC [Industry Avg | US & CA],110.4,m²,1.0,,False,0,0,0,0,False,Expired 2025; BfCA BioC calc by mass,T10|C04|S01|s029f2
,Wood / SPF / 1x3 Lumber / AWC & CWC [Industry Avg | US & CA],110.4,m²,1.0,,False,0,0,0,0,False,Expired 2025; BfCA BioC calc by mass,T10|C04|S01|w93kcl
,Wood / SPF / 1x2 Lumber / AWC & CWC [Industry Avg | US & CA],110.4,m²,1.0,,False,0,0,0,0,False,Expired 2025; BfCA BioC calc by mass,T10|C04|S01|k2f2dm
ADDITIONAL MATERIALS 🤚,,,,,,,,,,,,,T10|CAM
MATERIALS BY LENGTH,,,,,,,,,,,,,T10|CAM|SLE
,,,m,1.0,,False,0,,,,False,,T10|CAM|SLE|000001
,,,m,1.0,,False,0,,,,False,,T10|CAM|SLE|000002
,,,m,1.0,,False,0,,,,False,,T10|CAM|SLE|000003
,,,m,1.0,,False,0,,,,False,,T10|CAM|SLE|000004
,,,m,1.0,,False,0,,,,False,,T10|CAM|SLE|000005
MATERIALS BY AREA,,,,,,,,,,,,,T10|CAM|SAR
,,,m²,1.0,,False,0,,,,False,,T10|CAM|SAR|000001
,,,m²,1.0,,False,0,,,,False,,T10|CAM|SAR|000002
,,,m²,1.0,,False,0,,,,False,,T10|CAM|SAR|000003
,,,m²,1.0,,False,0,,,,False,,T10|CAM|SAR|000004
,,,m²,1.0,,False,0,,,,False,,T10|CAM|SAR|000005
MATERIALS BY R-VALUE & AREA,,,,R-VALUE,➜,,,,,,,,T10|CAM|SRV
,,,m²,1.0,,False,0,,,,False,,T10|CAM|SRV|000001
,,,m²,1.0,,False,0,,,,False,,T10|CAM|SRV|000002
,,,m²,1.0,,False,0,,,,False,,T10|CAM|SRV|000003
,,,m²,1.0,,False,0,,,,False,,T10|CAM|SRV|000004
,,,m²,1.0,,False,0,,,,False,,T10|CAM|SRV|000005
MATERIALS BY VOLUME,,,,,,,,,,,,,T10|CAM|SVO
,,,m³,1.0,,False,0,,,,False,,T10|CAM|SVO|000001
,,,m³,1.0,,False,0,,,,False,,T10|CAM|SVO|000002
,,,m³,1.0,,False,0,,,,False,,T10|CAM|SVO|000003
,,,m³,1.0,,False,0,,,,False,,T10|CAM|SVO|000004
,,,m³,1.0,,False,0,,,,False,,T10|CAM|SVO|000005
ADD CUSTOM EPD VALUE 🤚,,,,,,,,,,,,,T10|CEP
,Material Description / EPD Owner / EPD ID number / EPD Program Operator / EPD Expired date,  QUANTITY        ,UNITS,%,, SELECT,"User defined
NET
EMISSIONS
kg CO₂e","User defined
 GROSS
EMISSIONS
kg CO₂e","User defined
STORAGE
Short Cycle
kg CO₂   ","User defined
STORAGE
Long Cycle
kg CO₂   ","SELECT
Long Cycle",,T10|CEP|SMO
,,,,1.0,,False,0,,,,False,,T10|CEP|SMO|000001
,,,,1.0,,False,0,,,,False,,T10|CEP|SMO|000002
,,,,1.0,,False,0,,,,False,,T10|CEP|SMO|000003
,,,,1.0,,False,0,,,,False,,T10|CEP|SMO|000004
,,,,1.0,,False,0,,,,False,,T10|CEP|SMO|000005
,,,,1.0,,False,0,,,,False,,T10|CEP|SMO|000006
