"","PARTY WALLS","","","","","","","","","","","",""
"","PROJECT NAME:    Sample Project DOE Prototype
SCENARIO:              Baseline
BEAM VERSION:     V1.1","","FALSE","","","","","","","","","","T05"
"CATEGORY","MATERIAL","","UNITS","","","","","","","","","FOOTNOTE","ID"
"LIGHT STEEL FRAME WALLS","","","","","","","","","","","","","T05|C01"
"LIGHT STEEL FRAMING – 16 GAUGE (2X6)","","","","","","","","","","","","","T05|C01|S01"
"","Steel studs - Load bearing / Steel Framing Industry Assn / 600-S-137-54, 16 gauge [Industry Avg, US & CA]","0.0","m²","100%","","FALSE","0","0","0","0","","","T05|C01|S01|SSS005"
"","Steel studs - Load bearing / Scafco / 600-S-137-54, 16 gauge","0.0","m²","100%","","FALSE","0","0","0","0","","Expired 2024","T05|C01|S01|3a1205"
"","Steel studs - Load bearing / MarinoWARE / Structural stud and track / 600-S-137-54, 16 gauge","0.0","m²","100%","","FALSE","0","0","0","0","","","T05|C01|S01|SSS001"
"","Steel studs - Load bearing / ClarkDietrich / 600-S-137-54, 16 gauge","0.0","m²","100%","","FALSE","0","0","0","0","","","T05|C01|S01|SSS000"
"LIGHT STEEL FRAMING – 20 GAUGE (2X4)","","","","","","","","","","","","","T05|C01|S02"
"","Steel studs - Non-loadbearing / Steel Framing Industry Assn / 362-S-137-54 20EQ gauge [Industry Avg, US+Can]","0.0","m²","100%","","FALSE","0","0","0","0","","","T05|C01|S02|SSS006"
"","Steel studs - Non-loadbearing / Scafco / 362VS125-18, 20EQ gauge","0.0","m²","100%","","FALSE","0","0","0","0","","Expired 2024","T05|C01|S02|58154c"
"","Steel studs - Non-loadbearing / MarinoWARE / Viper Stud Viper 20 / 20EQ gauge","0.0","m²","100%","","FALSE","0","0","0","0","","","T05|C01|S02|SSS003"
"","Steel studs - Non-loadbearing / ClarkDietrich / 362-S-125-18, 20EQ gauge","0.0","m²","100%","","FALSE","0","0","0","0","","","T05|C01|S02|SSS002"
"LIGHT WOOD FRAME WALLS","","","","","","","","","","","","","T05|C02"
"FRAMING LUMBER – SPRUCE-PINE-FIR","","","","","","","","","","","","","T05|C02|S01"
"","Wood / SPF / 2x8 Lumber / AWC & CWC [Industry Avg | US & CA]","0.0","m²","100%","","FALSE","0","0","0","0","FALSE","Expired 2025; BfCA BioC calc by mass","T05|C02|S01|4lv9wd"
"","Wood / SPF / 2x8 Lumber / Surfaced Dry Softwood Lumber Produced in British Columbia","0.0","m²","100%","","FALSE","0","0","0","0","FALSE","","T05|C02|S01|spf002"
"","Wood / SPF / 2x6 Lumber / AWC & CWC [Industry Avg | US & CA]","0.0","m²","100%","","FALSE","0","0","0","0","FALSE","Expired 2025; BfCA BioC calc by mass","T05|C02|S01|c309dk"
"","Wood / SPF / 2x6 Lumber / Surfaced Dry Softwood Lumber Produced in British Columbia","0.0","m²","100%","","FALSE","0","0","0","0","FALSE","","T05|C02|S01|spf001"
"","Wood / SPF / 2x4 Lumber / AWC & CWC [Industry Avg | US & CA]","0.0","m²","100%","","FALSE","0","0","0","0","FALSE","Expired 2025; BfCA BioC calc by mass","T05|C02|S01|2m3nf4"
"","Wood / SPF / 2x4 Lumber / Surfaced Dry Softwood Lumber Produced in British Columbia","0.0","m²","100%","","FALSE","0","0","0","0","FALSE","","T05|C02|S01|spf000"
"","Wood / SPF / 2x3 Lumber / AWC & CWC [Industry Avg | US & CA]","0.0","m²","100%","","FALSE","0","0","0","0","FALSE","Expired 2025; BfCA BioC calc by mass","T05|C02|S01|12dc8t"
"CONCRETE MASONRY UNIT (CMU) WALLS","","","","","","","","","","","","","T05|C03"
"CMU – NORMAL WEIGHT","","","","","","","","","","","","","T05|C03|S01"
"","CMU - Light weight / 8"" Light weight blocks / 15 MPa, 390 x 190 x 190 mm / CCMPA West Region [Industry Avg | CA]","0.0","m²","100%","","FALSE","0","0","0","0","","","T05|C03|S01|CMU001"
"","CMU - Light weight / 8"" Light weight blocks / 15 MPa, 390 x 190 x 190 mm / CCMPA East Region [Industry Avg | CA]","0.0","m²","100%","","FALSE","0","0","0","0","","","T05|C03|S01|cmu000"
"","CMU - Light weight / Brampton Brick (Boehmers) / 8"" CarboClave Block  / 8 x 8 x 16 ","0.0","m²","100%","","FALSE","0","0","0","0","","","T05|C03|S01|CMU004"
"CMU – LIGHT WEIGHT","","","","","","","","","","","","","T05|C03|S02"
"","CMU - Normal weight / 8"" Normal weight blocks / 15 MPa, 390 x 190 x 190 mm / CCMPA West Region [Industry Avg | CA]","0.0","m²","100%","","FALSE","0","0","0","0","","","T05|C03|S02|CMU003"
"","CMU - Normal weight / 8"" Normal weight blocks / 15 MPa, 390 x 190 x 190 mm / CCMPA East Region [Industry Avg | CA]","0.0","m²","100%","","FALSE","0","0","0","0","","","T05|C03|S02|CMU002"
"","CMU - Normal weight / Brampton Brick (Boehmers) / 8"" CarboClave Block  / 8 x 8 x 16 ","0.0","m²","100%","","FALSE","0","0","0","0","","","T05|C03|S02|CMU005"
"CONCRETE FILL FOR CMU WALL","","","","","","","","","","","","","T05|C04"
"CONCRETE – <= 2500 PSI – N.AMERICA","","","","","","","","","","","","","T05|C04|S04"
"","Concrete - 0-2500 psi, Standard mix / NRMCA [Industry Avg | US & CA]","0.0","m³","100%","","FALSE","0","0","0","0","","Expired 2024","T05|C04|S04|949348"
"","Concrete - 0-2500 psi, 20-29% Fly Ash / NRMCA [Industry Avg | US & CA]","0.0","m³","100%","","FALSE","0","0","0","0","","Expired 2024","T05|C04|S04|b7e1fe"
"","Concrete - 0-2500 psi, 30-39% FA/SL / NRMCA [Industry Avg | US & CA]","0.0","m³","100%","","FALSE","0","0","0","0","","Expired 2024","T05|C04|S04|d6132a"
"","Concrete - 0-2500 psi, 40-49% FA/SL mix / NRMCA [Industry Avg | US & CA]","0.0","m³","100%","","FALSE","0","0","0","0","","Expired 2024","T05|C04|S04|921b8b"
"","Concrete - 0-2500 psi, >50% SCM mix / NRMCA [Industry Avg | US & CA]","0.0","m³","100%","","FALSE","0","0","0","0","","Expired 2024","T05|C04|S04|1a5a48"
"CONCRETE – <= 2500 PSI – N.AMERICA","","","","","","","","","","","","","T05|C04|S05"
"","Concrete - 2501-3000 psi, Standard mix / NRMCA [Industry Avg | US & CA]","0.0","m³","100%","","FALSE","0","0","0","0","","Expired 2024","T05|C04|S05|43fe24"
"","Concrete - 2501-3000 psi, 20-29% Fly Ash / NRMCA [Industry Avg | US & CA]","0.0","m³","100%","","FALSE","0","0","0","0","","Expired 2024","T05|C04|S05|a7c43b"
"","Concrete - 2501-3000 psi, 30-39% FA/SL / NRMCA [Industry Avg | US & CA]","0.0","m³","100%","","FALSE","0","0","0","0","","Expired 2024","T05|C04|S05|809f93"
"","Concrete - 2501-3000 psi, 40-49% FA/SL mix / NRMCA [Industry Avg | US & CA]","0.0","m³","100%","","FALSE","0","0","0","0","","Expired 2024","T05|C04|S05|c50635"
"","Concrete - 2501-3000 psi, >50% SCM mix / NRMCA [Industry Avg | US & CA]","0.0","m³","100%","","FALSE","0","0","0","0","","Expired 2024","T05|C04|S05|900b85"
"CONCRETE – 3001-4000 psi – N.AMERICA","","","","","","","","","","","","","T05|C04|S08"
"","Concrete - 3001-4000 psi, Standard mix / NRMCA [Industry Avg | US & CA]","0.0","m³","100%","","FALSE","0","0","0","0","","Expired 2024","T05|C04|S08|s33333"
"","Concrete - 3001-4000 psi, 20-29% Fly Ash / NRMCA [Industry Avg | US & CA]","0.0","m³","100%","","FALSE","0","0","0","0","","Expired 2024","T05|C04|S08|s33334"
"","Concrete - 3001-4000 psi, 30-39% FA/SL / NRMCA [Industry Avg | US & CA]","0.0","m³","100%","","FALSE","0","0","0","0","","Expired 2024","T05|C04|S08|s33335"
"","Concrete - 3001-4000 psi, 40-49% FA/SL mix / NRMCA [Industry Avg | US & CA]","0.0","m³","100%","","FALSE","0","0","0","0","","Expired 2024","T05|C04|S08|s33336"
"","Concrete - 3001-4000 psi, >50% SCM mix / NRMCA [Industry Avg | US & CA]","0.0","m³","100%","","FALSE","0","0","0","0","","Expired 2024","T05|C04|S08|s33337"
"CONCRETE – 4001-5000 psi – N.AMERICA","","","","","","","","","","","","","T05|C04|S09"
"","Concrete - 4001-5000 psi, Standard mix / NRMCA [Industry Avg | US & CA]","0.0","m³","100%","","FALSE","0","0","0","0","","Expired 2024","T05|C04|S09|s33338"
"","Concrete - 4001-5000 psi, 20-29% Fly Ash / NRMCA [Industry Avg | US & CA]","0.0","m³","100%","","FALSE","0","0","0","0","","Expired 2024","T05|C04|S09|s33339"
"","Concrete - 4001-5000 psi, 30-39% FA/SL / NRMCA [Industry Avg | US & CA]","0.0","m³","100%","","FALSE","0","0","0","0","","Expired 2024","T05|C04|S09|s33340"
"","Concrete - 4001-5000 psi, 40-49% FA/SL mix / NRMCA [Industry Avg | US & CA]","0.0","m³","100%","","FALSE","0","0","0","0","","Expired 2024","T05|C04|S09|s33341"
"","Concrete - 4001-5000 psi, >50% SCM mix / NRMCA [Industry Avg | US & CA]","0.0","m³","100%","","FALSE","0","0","0","0","","Expired 2024","T05|C04|S09|s33342"
"BARRIERS AND MEMBRANES","","","","","","","","","","","","","T05|C16"
"SHEET BARRIER PERMEABLE","","","","","","","","","","","","","T05|C16|S01"
"","Sheet Barrier Permeable / [BEAM Avg]","0.0","m²","100%","","FALSE","0","0","0","0","","","T05|C16|S01|SBP00x"
"","Ext. Roof Barrier, sheet / Rothoblaas / Traspir Weld EVO 360 / 17.5 Perms / 1.0 mm / EU","0.0","m²","100%","","FALSE","0","0","0","0","","","T05|C16|S01|bbb006"
"","Ext. & Int. Wall Barrier, sheet / Rothoblaas / Traspir EVO UV 210 / 41.7 Perms / 0.3 mm / EU","0.0","m²","100%","","FALSE","0","0","0","0","","","T05|C16|S01|bbb005"
"","Ext. & Int. Wall & Roof Barrier, sheet / Rothoblaas / Traspir EVO 160 / 12.3 Perms / 0.5 mm / EU","0.0","m²","100%","","FALSE","0","0","0","0","","","T05|C16|S01|bbb002"
"","Ext. Wall & Roof Barrier, sheet / Partel / Exoperm Mono 150 / Permeable / EU","0.0","m²","100%","","FALSE","0","0","0","0","","","T05|C16|S01|bbb010"
"","Ext. Wall Barrier, sheet / Building Product Design / Glidevale Protect TF200 / Permeable","0.0","m²","100%","","FALSE","0","0","0","0","","","T05|C16|S01|bbb022"
"","Ext. & Int. Wall Barrier, sheet / Rothoblaas / Traspir 110 / 101 Perms / 0.4 mm / EU","0.0","m²","100%","","FALSE","0","0","0","0","","","T05|C16|S01|bbb004"
"","Ext. Wall & Roof Barrier, sheet / Dupont / Tyvek Monolayer 60 / Permeable / EU","0.0","m²","100%","","FALSE","0","0","0","0","","","T05|C16|S01|bbb009"
"SHEET BARRIER MOISTURE-VARIABLE","","","","","","","","","","","","","T05|C16|S04"
"","Sheet Barrier Moisture-Variable / [BEAM Avg]","0.0","m²","100%","","FALSE","0","0","0","0","","","T05|C16|S04|SBM00x"
