beam_id,epd_id,ID,Display Name,Stated kgCO2e/unit,GWP units per,GWP/common unit,Common unit,GWP-bio from EPD,Biogenic Storage,Carbon content kgC/unit,Full C value,Storage % Reduction,Density,Density Units,Addnl factor,Addnl factor units,EPD ID,EPD Type,EPD Program/Operator,Service Life (yr)
CCF00X,"EPD-HOC-20220204-IBD1-EN, BAU-EPD-Perlmooser-2022-1-Ecoinvent, EPD-MDS-20210038-CBA1-EN",CCF00X,Cementitious Foam / R 3.5-inch [BEAM Avg],,,1.59,m2•RSI,,,,,,80,kg/m3,,,"EPD-HOC-20220204-IBD1-EN, BAU-EPD-Perlmooser-2022-1-Ecoinvent, EPD-MDS-20210038-CBA1-EN",beam_average,,
CBI000,EPD HUB-0281,CBI000,"Cork board insulation / Amorim  / Expanded Insulation Corkboard (ICB) / R3.6-inch, 115 kg/m3 [EU]",82.8,m3,3.31,m2•RSI,212,7.63,8.48,10.91,0.9,115,kg/m3,4.6,kg/m2 RSI1,EPD HUB-0281,product_specific,EPD Hub,
bbb027,EPDIE-22-83,bbb027,"Int. Wall & Ceiling Barrier, sheet / Partel / IZOPERM PLUS / Non-permeable / EU",0.4,m²,0.42,m²,,,,,,120,g/m2,,,EPDIE-22-83,product_specific,Irish Green Building Council,
bbb028,EPDIE-22-83,bbb028,"Int. Wall & Ceiling Barrier, sheet / Partel / VARA PLUS / Moisture-variable / EU",0.4,m²,0.37,m²,,,,,,120,g/m2,,,EPDIE-22-83,product_specific,Irish Green Building Council,
bbb007,EPDIE-22-84,bbb007,"Ext. Wall & Roof Barrier, adhesive / Partel / Exoperm Mono SA 250 / Permeable / EU",0.8,m²,0.81,m²,,,,,,250,g/m2,,,EPDIE-22-84,product_specific,Irish Green Building Council,
bbb010,EPDIE-22-84,bbb010,"Ext. Wall & Roof Barrier, sheet / Partel / Exoperm Mono 150 / Permeable / EU",0.5,m²,0.54,m²,,,,,,150,g/m2,,,EPDIE-22-84,product_specific,Irish Green Building Council,
STU000,EPD-IWM-STO-20210130-IBG1-DE,STU000,"Cement ""Stucco"" Plaster / Sto SE / Pre-mixed rendering & plastering mortar with reinforcing fiber / 1/2"" [EU]",0.4,kg,8.8,m2,,,,,,1600,kg/m3,,,EPD-IWM-STO-20210130-IBG1-DE,product_specific,IBU,
A23456,EPD-JAM-20220072-CBD1-EN,A23456,Composite sheathing panel / James Hardie Europe / Fermacell / 12.5mm [EU],,m2,3.12,m2,3.58,3.22,,,0.9,14.75,kg/m2,,,EPD-JAM-20220072-CBD1-EN,product_specific,Institut Bauen und Umwelt e.V.,
S12347,EPD-KRI-20230308-IBC1-EN,S12347,Ground screw / Krinner / E-Series E89x1000-E60 / 89 x 1000 mm [EU],2.39,kg,13.15,m,,,,,,5.5,kg/m,,,EPD-KRI-20230308-IBC1-EN,product_specific,IBU,
S12348,EPD-KRI-20230308-IBC1-EN,S12348,Ground screw / Krinner / E-Series E140x1600-E76-100 / 140 x 1600 mm [EU],2.39,kg,44.22,m,,,,,,5.5,kg/m,,,EPD-KRI-20230308-IBC1-EN,product_specific,IBU,
CCF002,EPD-MDS-20210038-CBA1-EN,CCF002,Cementitious Foam /Master Builders Solutions / MasterProtect NFF / R3.8/inch / 70 kg/m3 [EU],45.6,m3,1.71,m²•RSI,,,,,,70,kg/m3,,,EPD-MDS-20210038-CBA1-EN,product_specific,IBU,50
beed82,EPD-MIS-20150019-IAA2-DE,beed82,"Foam glass aggregate / Misapor  / Glavel / R 1.7-inch, 10-60 mm [EU]",15.2,m3,1.25,m2•RSI,,,,,,130,kg/m3,,,EPD-MIS-20150019-IAA2-DE,product_specific,,
INS016,EPD n° 21-0078-001.00.00,INS016,Hempcrete block / Isohemp / Hemp Block PAL36EX  including mortar / 600 x 300 x 150-360 mm / R 2.0-inch [EU],45.66,m2 @RSI 5.07,9.01,m2•RSI,65.5,11.63,2.79,10.23,0.9,340,kg/m3,24.1,kg/m2 at RSI1,EPD n° 21-0078-001.00.00,product_specific,B-EPD,60
BAM004,EPD-NIBE-20210322-18246,BAM004,"Hard Bamboo flooring / MOSO / Purebamboo, Topbamboo, Bamboo Supreme, UltraDensity / 9/16"" (15mm), High Density",576.5,m3,8.65,m2 @15mm,1549.3,20.92,,,0.9,1050,kg/m3,15.75,kg/m2,EPD-NIBE-20210322-18246,product_specific,NIBE,
BAM005,EPD-NIBE-20210322-18246,BAM005,"Hard Bamboo flooring / MOSO / Solid & Supra Collection / 20mm, High Density",576.5,m3,11.53,"m2 @1/2""",1549.3,43.04,38.7325,,0.9,1050,kg/m3,13.65,kg/m2,EPD-NIBE-20210322-18246,product_specific,NIBE,
BAM006,EPD-NIBE-20210322-18246,BAM006,Bamboo beams / MOSO / Bamboo Solid Beams / High Density,576.5,m3,576.5,m3,1549.3,,,,0.9,1050,kg/m3,,,EPD-NIBE-20210322-18246,product_specific,NIBE,
BAM008,EPD-NIBE-20210322-18247,BAM008,"Laminated Bamboo flooring / MOSO / Bamboo Elite & Elite Premium, Industriale /  9/16"" (15mm)",305.28,m3,4.58,m2 @15mm,1140.8,15.4,,,0.9,700,kg/m3,10.5,kg/m2,EPD-NIBE-20210322-18247,product_specific,NIBE,
INT007,EPD-NIBE-20210615-20084,INT007,"MgO board 1/2"" / Sinh Build / MAGOXX boards / 1/2"" [EU]",6.7,m2,6.7,m2,0.4741,0.43,,,0.9,1000,kg/m3,,,EPD-NIBE-20210615-20084,product_specific,ReThink,
BAM007,EPD-NIBE-20210625-20247,BAM007,"Bamboo Cladding / MOSO / X-treme, all profiles / Heat treated / 5/8"" (18 mm)",25.26,m2 at 18 mm,25.26,"m2 @5/8""",32.73,29.46,,,0.9,1150,kg/m3,,,EPD-NIBE-20210625-20247,product_specific,NIBE,
ins029,EPD-PAV-20190182-ABA4-EN,ins029,"Wood fiber board / Pavatex / Isolair, Isoroof, Isolair Multi / R 3.3-inch / 200 kg/m3, 30-80 mm [EU]",-253,m3 @ 200 kg/m3,4.2,m2•RSI,,13.71,,15.23,0.9,200,kg/m3,,,EPD-PAV-20190182-ABA4-EN,product_specific,IBU,
ins031,EPD-PAV-20190182-ABA4-EN,ins031,"Wood fiber board / Pavatex / Pavawall GF, Pavawall Bloc, Pavawall GF XL / R 3.3-inch / 130 kg/m3 [EU]",-164.5,m3 @ 200 kg/m3,2.73,m2•RSI,,8.91,,9.91,0.9,130,kg/m3,,,EPD-PAV-20190182-ABA4-EN,product_specific,IBU,
ins032,EPD-PAV-20190182-ABA4-EN,ins032,"Wood fiber board / Pavatex / Pavawall Smart, Pavawall Light, Pavawall FW / R 3.3-inch / 115 kg/m3 [EU]",-145.5,m3 @ 115 kg/m3,2.42,m2•RSI,,7.88,,8.76,0.9,115,kg/m3,,,EPD-PAV-20190182-ABA4-EN,product_specific,IBU,
