beam_id,epd_id,ID,Display Name,Stated kgCO2e/unit,GWP units per,GWP/common unit,Common unit,GWP-bio from EPD,Biogenic Storage,Carbon content kgC/unit,Full C value,Storage % Reduction,Density,Density Units,Addnl factor,Addnl factor units,EPD ID,EPD Type,EPD Program/Operator,Service Life (yr)
LEC000,NEPD-2540-1277-EN,LEC000,"Light expanded clay aggregate (LECA) / Leca Int'l / Leca Arlita 10-20 / R 1.3-inch, 10-20 mm [EU]",65.5,m3,7.25,m2•RSI,,,,,,275,kg/m3,,,NEPD-2540-1277-EN,product_specific,Norwegian EPD Foundation,
3416a8,"New York State Pollution Prevention Institute LCA, 2013",3416a8,Mycelium board / Ecovative  / Mycofoam / R 3.7-inch,275.38,m3,10.74,m2•RSI,,8.66,,,,121,kg/m3,4.719,kg/m2 at RSI1,"New York State Pollution Prevention Institute LCA, 2013",,,
INS025,None,INS025,Wool batt / ISOLENA / Optimal batt / 5.5 inch / R 3.8-inch [EU],3,m2 at 135 mm,0.85,m²•RSI,1.217,1.1,,,0.9,18,kg/m3,,,None,product_specific,Agrodome,
SIP000,Not yet published,SIP000,"SIP panels - EPS foam & OSB / SIPA / R-15 4.5"" panel [Industry Avg | N America]",11.1,m2•RSI,29.37,m2,24.09,,,28.54,0.9,17.804,kg/m2 at RSI1,16.8148,kg/m2 at two layers of 1/2 inch osb,Not yet published,industry_average,EPD Hub,
SIP001,Not yet published,SIP001,"SIP panels - EPS foam & OSB / SIPA / R-23 6.5"" panel [Industry Avg | N America]",11.1,m2•RSI,45.07,m2,24.09,,,,0.9,17.804,kg/m2 at RSI1,16.8148,kg/m2 at two layers of 1/2 inch osb,Not yet published,industry_average,EPD Hub,
SIP002,Not yet published,SIP002,"SIP panels - EPS foam & OSB / SIPA / R-30 8.25"" panel [Industry Avg | N America]",11.1,m2•RSI,58.72,m2,24.09,,,,0.9,17.804,kg/m2 at RSI1,16.8148,kg/m2 at two layers of 1/2 inch osb,Not yet published,industry_average,EPD Hub,
SIP003,Not yet published,SIP003,"SIP panels - EPS foam & OSB / SIPA / R-38 10.25"" panel [Industry Avg | N America]",11.1,m2•RSI,74.37,m2,24.09,,,,0.9,17.804,kg/m2 at RSI1,16.8148,kg/m2 at two layers of 1/2 inch osb,Not yet published,industry_average,EPD Hub,
SIP004,Not yet published,SIP004,"SIP panels - EPS foam & OSB / SIPA / R-45 12.25"" panel [Industry Avg | N America]",11.1,m2•RSI,88.1,m2,24.09,,,,0.9,17.804,kg/m2 at RSI1,16.8148,kg/m2 at two layers of 1/2 inch osb,Not yet published,industry_average,EPD Hub,
2c53be,NRMCAEPD: 10020,2c53be,Aggregate / NRMCA / US Average [Industry Avg],9.52,MT,16.01,m³,,,,,,1682,kg/m3,,,NRMCAEPD: 10020,industry_average,,
NSF000,NSI-20221101-002,NSF000,"Natural stone flooring / Natural Stone Institute / Includes limestone, granite, marble & quartzite / 1/2"" thickness / Mortar included / [Industry Avg, US]",22,m2,22,m2,,,,,,24.32,kg/m2,,,NSI-20221101-002,industry_average,Ecoform,
n93fd1,NSI – 20221101 – 003,n93fd1,"Stone Cladding, incl. mortar & ties / Natural Stone Institute / Includes limestone, granite, marble, quartzite, sandstone  [Industry Avg | US & CA]",21.4,m²,21.4,m²,,,,,,89.78,"kg/m2 installed stone, mortar, connectors, water",,2507,NSI – 20221101 – 003,industry_average,SM Transparency Report [EPD]™ Program,75
NSF001,POL-20230213-001,NSF001,"Granite flooring / Polycor Natural Stone / All granite products / 1/2"" thickness",24,m2,24,m2,,,,,,29.79,kg/m2,,,POL-20230213-001,product_specific,Ecoform,
NSF002,POL-20230213-002,NSF002,"Limestone flooring / Polycor Natural Stone / All limestone products / 1/2"" thickness",9.18,m2,9.18,m2,,,,,,18.2,kg/m2,,,POL-20230213-002,product_specific,Ecoform,
NSF003,POL-20230213-003,NSF003,"Marble flooring / Polycor Natural Stone / All marble products / 1/2"" thickness",32.7,m2,32.7,m2,,,,,,34.72,kg/m2,,,POL-20230213-003,product_specific,Ecoform,
f02kr5,RTS_153_21,f02kr5,DeltaBeam Composite Beam / Peikko / D20-200 [EU],1.8289,kg,192.75,m,,,,,,105.39,kg/m,,,RTS_153_21,product_specific,,
HTW001,RTS 180 22,HTW001,Heat Treated Wood Cladding / Lunawood / Planed Thermowood D / 20 mm [EU],128,m³,2.56,m²,652,,13.04,,0.9,390,kg/m3,,,RTS 180 22,product_specific,Building Information Foundation RTS,
HTW002,RTS 180 22,HTW002,Heat Treated Wood Cladding / Lunawood / Planed Thermowood S / 20 mm [EU],96.1,m³,1.92,m²,634,,12.68,,0.9,390,kg/m3,,,RTS 180 22,product_specific,Building Information Foundation RTS,
e06534,SCS-EPD-03576,e06534,Rubber flooring / ECOsurfaces / 6mm,5.9,m²,5.9,m²,,,,,,7.476,kg/m2,,,SCS-EPD-03576,product_specific,,
63d778,SCS-EPD-04873,63d778,"MgO board 1/2"" / North American MgO / MagTech Ultra / 1/2""",7.4,m²,7.4,m²,,,,,,1000,kg/m3,,,SCS-EPD-04873,product_specific,,
MGOB0X,"SCS-EPD-04873, EPD-NIBE-20210615-20084",MGOB0X,"MgO board  1/2"" [BEAM Avg]",,,7.05,m²,,,,,,,,,,"SCS-EPD-04873, EPD-NIBE-20210615-20084",beam_average,,
LVT003,SCS-EPD-05530,LVT003,Luxury vinyl tile (LVT) / Congoleum / CLEO / 4.1mm,11,m2,11,m2,,,,,,0.81,g/cm2,,,SCS-EPD-05530,product_specific,SCS Global Services,15
3a1205,SCS-EPD05752,3a1205,"Steel studs - Load bearing / Scafco / 600-S-137-54, 16 gauge",3.29,kg,8.57,"m of ""2x6"" stud",,,,,,7850,kg/m3,2.604,kg/m,SCS-EPD05752,product_specific,,
58154c,SCS-EPD05752,58154c,"Steel studs - Non-loadbearing / Scafco / 362VS125-18, 20EQ gauge",3.29,kg,2.07,"m of ""2x4"" stud",,,,,,7850,kg/m3,0.6293817,kg/m,SCS-EPD05752,product_specific,,
A23458,SCS-EPD-06489,A23458,Composite sheathing panel / Continuus Materials / Everboard / Fiberglass facing / 1/2-inch,7.5,m2,7.47,m2,,7.98,,8.87,0.9,8.79,kg/m2,,,SCS-EPD-06489,product_specific,SCS Global Services,75
A23459,SCS-EPD-06489,A23459,Composite sheathing panel / Continuus Materials / Everboard / Paper facing / 1/2-inch,7.3,m2,7.29,m2,,8.27,9.1939005,,0.9,8.79,kg/m2,,,SCS-EPD-06489,product_specific,SCS Global Services,75
SSS005,SCS-EPD-07103,SSS005,"Steel studs - Load bearing / Steel Framing Industry Assn / 600-S-137-54, 16 gauge [Industry Avg, US & CA]",2.44,kg,6.35,"m of ""2x6"" stud",,,,,,7850,kg/m3,2.604,kg/m,SCS-EPD-07103,industry_average,SCS Global,
SSS006,SCS-EPD-07103,SSS006,"Steel studs - Non-loadbearing / Steel Framing Industry Assn / 362-S-137-54 20EQ gauge [Industry Avg, US+Can]",2.44,kg,1.54,"m of ""2x4"" stud",,,,,,7800,kg/m3,0.6293817,kg/m,SCS-EPD-07103,industry_average,SCS Global,
LVT013,SCS-EPD-07131,LVT013,Luxury vinyl tile (LVT) / Altro / Altro Lavencia / 3.0 mm,10.938,m²,10.94,m²,,,,,,5103,g/m2,,,SCS-EPD-07131,product_specific,SCS Global,30
XPS001,SCS-EPD-07175,XPS001,"XPS foam board / Kingspan / GreenGuard Type IV, Low GWP / R 5.0-inch, 25 psi",3.74,m2•RSI,3.74,m2•RSI,,,,,,25.63,kg/m3,,,SCS-EPD-07175,product_specific,SCS Global,75
www111,SCS-EPD-07201,www111,"Window - double-glazed / Andersen / E-Series / Wood frame, aluminum cladding / USA",73.8,m²,73.8,m²,,,,,,,,,,SCS-EPD-07201,product_specific,SCS Global Services,
WIJ000,SCS-EPD-07524,WIJ000,"Wood I joist / RedBuilt / Red-I Joists / Red I-45 / 11.875"" depth, 1.75 x 1.5"" LVL flanges",0.16,m,0.16,m,,,,5.48,0.9,,,3.28,kg/m,SCS-EPD-07524,product_specific,SCS Global,
WIJ001,SCS-EPD-07524,WIJ001,"Wood I joist / RedBuilt / Red-I Joists / Red I-45 / 14"" depth, 1.75 x 1.5"" LVL flanges",2.9,m,2.9,m,,,,6.21,0.9,,,3.72,kg/m,SCS-EPD-07524,product_specific,SCS Global,
WIJ002,SCS-EPD-07524,WIJ002,"Wood I joist / RedBuilt / Red-I Joists / Red I-45 / 16"" depth, 1.75 x 1.5"" LVL flanges",3.48,m,3.48,m,,,,7.45,0.9,,,4.46,kg/m,SCS-EPD-07524,product_specific,SCS Global,
WIJ003,SCS-EPD-07524,WIJ003,"Wood I joist / RedBuilt / Red-I Joists / Red I-65 / 11.875"" depth, 2.5 x 1.5"" LVL flanges",4.17,m,4.17,m,,,,8.93,0.9,,,5.35,kg/m,SCS-EPD-07524,product_specific,SCS Global,
WIJ004,SCS-EPD-07524,WIJ004,"Wood I joist / RedBuilt / Red-I Joists / Red I-65 / 14"" depth, 2.5 x 1.5"" LVL flanges",4.53,m,4.53,m,,,,9.7,0.9,,,5.81,kg/m,SCS-EPD-07524,product_specific,SCS Global,
WIJ005,SCS-EPD-07524,WIJ005,"Wood I joist / RedBuilt / Red-I Joists / Red I-65 / 16"" depth, 2.5 x 1.5"" LVL flanges",4.88,m,4.88,m,,,,10.45,0.9,,,6.26,kg/m,SCS-EPD-07524,product_specific,SCS Global,
LAM001,SCS-EPD-07525,LAM001,Laminated veneer lumber (LVL) / RedBuilt / RedLam LVL,177.23,m3,177.23,m3,,,,1055.51,0.9,593,kg/m3,,,SCS-EPD-07525,product_specific,SCS Global,
TRU000,SCS-EPD-07526,TRU000,"Wood/steel hybrid floor truss / RedBuilt / Red-L Open-Web / 14"" deep, 1.5 x 3.5"" chords",11.1,m,11.1,m,,,,6.58,0.9,5.6,kg/m,,,SCS-EPD-07526,product_specific,SCS Global,
TRU001,SCS-EPD-07526,TRU001,"Wood/steel hybrid floor truss / RedBuilt / Red-S Open-Web / 16"" deep, double 1.5 x 2.3"" LVL chords",14.08,m,14.08,m,,,,8.93,0.9,7.05,kg/m,,,SCS-EPD-07526,product_specific,SCS Global,
TRU002,SCS-EPD-07526,TRU002,"Wood/steel hybrid floor truss / RedBuilt / Red-W Open-Web / 14"" deep, 1.5 x 4.25"" chords",13.5,m,13.5,m,,,,7.87,0.9,6.7,kg/m,,,SCS-EPD-07526,product_specific,SCS Global,
MPS004,SCS-EPD-07578,MPS004,Metal Panels - Steel / AEP Span / All roofing & wall products / 24 gauge,2160,100 m2,21.6,m²,,,,,,7850,kg/m3,,,SCS-EPD-07578,product_specific,SCS Global,
CCC000,SCS-EPD-08200,CCC000,"Composite cladding / Fiberon / Wildwood Cladding / 3/4""",14.7,m2,14.69,m2,,,,,,62.47,kg/m2,,,SCS-EPD-08200,product_specific,SCS Global,
CCC001,SCS-EPD-08391,CCC001,"Composite cladding / Modern Mill / ACRE Cladding / 3/4""",30.9,m2,30.92,m2,,,,,,12.38,kg/m2,,,SCS-EPD-08391,product_specific,SCS Global,
LVT002,SCS-EPD-08570,LVT002,Luxury vinyl tile (LVT) / Mohawk / Hot & Heavy Floating Tiles / 5.0 mm,11.59,m2,11.59,m2,,,,,,8.09,kg/m2,,,SCS-EPD-08570,product_specific,,
INS048,SCS-EPD-09348,INS048,"Fiberglass batt & roll / Owens Corning / Unfaced, PINK Next Gen Fiberglas / R 3.6-inch avg.",0.659,m2 RSI1,0.66,m²•RSI,,,,,,,,,,SCS-EPD-09348,product_specific,SCS Global,75
INS049,SCS-EPD-09349,INS049,"Fiberglass loose fill / Owens Corning / AttiCat, ProCat, ProPink / R 3.28-inch",0.9,m2 RSI1,0.87,m²•RSI,,,,,,0.567,kg/m2 at RSI 1,,,SCS-EPD-09349,product_specific,SCS Global,75
95e2e7,SCS-EPD-09753,95e2e7,"XPS foam board / Owens Corning / Foamular NGX 250 / R 5.0/inch, 25 psi",8.46,m2•RSI,8.46,m2•RSI,,,,,,24.8,kg/m3,,,SCS-EPD-09753,product_specific,SCS Global,
XPS002,SCS-EPD-09753,XPS002,"XPS foam board / Owens Corning / Foamular NGX CodeBord/C200 / R 5/inch, 20 psi",8.51,m2•RSI,8.51,m2•RSI,,,,,,24.8,kg/m3,,,SCS-EPD-09753,product_specific,SCS Global,
a94mfe,"SCS-EPD-09753, 4789868895.101.1",a94mfe,XPS foam board / R 5.0/inch [BEAM Avg | US & CA],,m2•RSI,5.46,m2•RSI,,,,,,,,,,"SCS-EPD-09753, 4789868895.101.1",beam_average,,
INS013,SEN-01_22,INS013,Hempcrete cast in place / Senini / Bio Beton Jet / R2.7-inch / 230 kg/m3 [EU],43.5,m2 at 30 cm,7.68,m²•RSI,61.8,9.83,10.92,,0.9,230,kg/m3,,,SEN-01_22,product_specific,EPDItaly,
INS014,SEN-01_22,INS014,Hempcrete dry fill / Senini / Bio Beton Pronto / R2.7-inch / 190 kg/m3 [EU],33.7,m2 at 30 cm,5.96,m²•RSI,60.5,9.62,10.69,,0.9,190,kg/m3,,,SEN-01_22,product_specific,EPDItaly,
INS015,SEN-01_22,INS015,Hempcrete block / Senini / Blocco Ambiente / 20x50x30 / R2.1-inch / 330 kg/m3 [EU],71.8,m2 at 30 cm,16.74,m²•RSI,65.95,13.84,15.37,,0.9,330,kg/m3,,,SEN-01_22,product_specific,EPDItaly,
INS005,SmartEPD-2023-003-0010-01,INS005,Fiberglass batt / NAIMA /  R 4.4-inch [Industry Avg | N.America],1.01,m2•RSI,1.01,m2•RSI,,,,,,12.01,kg/m3,0.033,m,SmartEPD-2023-003-0010-01,industry_average,Smart EPD,75
INS008,SmartEPD-2023-003-0010-01,INS008,Fiberglass loose fill / NAIMA /  R 2.2-inch [Industry Avg | N.America],0.988,m2•RSI,0.99,m2•RSI,,,,,,6.89,kg/m3,0.067,m,SmartEPD-2023-003-0010-01,industry_average,Smart EPD,75
INS004,SmartEPD-2023-003-0012-01,INS004,Fiberglass board / NAIMA / R-3.2-inch  [Industry Avg | N.America],5,m2•RSI,5.02,m2•RSI,,,,,,57.6,kg/m3,,,SmartEPD-2023-003-0012-01,industry_average,Smart EPD,75
INS020,SmartEPD-2023-008-0021-01,INS020,Mineral wool loose fill / NAIMA / R 3-inch [Industry Avg | N.America],1.9,m2•RSI,1.89,m2•RSI,,,,,,32.1,kg/m3,,,SmartEPD-2023-008-0021-01,industry_average,Smart EPD,75
INS019,SmartEPD-2023-008-0022-01,INS019,Mineral wool board - light density / NAIMA / R 3.9-inch [Industry Avg | N.America],2.7,m2•RSI,2.68,m2•RSI,,,,,,38.3,kg/m3,,,SmartEPD-2023-008-0022-01,industry_average,Smart EPD,75
INS018,SmartEPD-2023-008-0023-01,INS018,Mineral wool board - heavy density / NAIMA / R 4.4-inch [Industry Avg | N.America],6.8,m2•RSI,6.82,m2•RSI,,,,,,99.9,kg/m3,,,SmartEPD-2023-008-0023-01,industry_average,Smart EPD,75
BAM002,SmartEPD-2023-009-0024-01,BAM002,"Bamboo plywood / Smith & Fong / Plyboo / 1/2"" (uncarved)",250,m3,3.18,"m2 @1/2""",,12.97,,,0.9,690,kg/m3,8.76,"kg/m2 at 1/2""",SmartEPD-2023-009-0024-01,product_specific,Smart EPD,
BAM003,SmartEPD-2023-009-0024-01,BAM003,"Bamboo plywood / Smith & Fong / Plyboo / 3/4"" (uncarved)",250,m3,4.75,"m2 @1/2""",,19.42,,,0.9,690,kg/m3,13.11,"kg/m2 at 3/4""",SmartEPD-2023-009-0024-01,product_specific,Smart EPD,
199253,S-P-00725,199253,Aerogel blanket / Aspen Aerogels / R9.6-inch,12.3,1m2 @ 10 mm,18.45,m2•RSI,,,,,,150,kg/m3,,,S-P-00725,product_specific,,
21cbc7,S-P-01088,21cbc7,"Foam glass aggregate / Hasopor / R 1.7-inch, 10-60 mm [EU]",7.77,m3,0.62,m2•RSI,,,,,,180,kg/m3,,,S-P-01088,product_specific,,
bbb025,S-P-01140,bbb025,"Int. Wall barrier, sheet / Isover / Vario KM Duplex / Moisture-variable / EU",0.621,m²,0.62,m²,,,,,,80,g/m2,,,S-P-01140,product_specific,International EPD System,
bbb026,S-P-01141,bbb026,"Int. Wall barrier, sheet / Isover / Vario XTRA / Moisture-variable / EU",0.543,m²,0.54,m²,,,,,,80,g/m2,,,S-P-01141,product_specific,International EPD System,
HTW000,S-P-01543,HTW000,"Heat Treated Wood Cladding / Abodo / Vulcan - Thermally Modified Timber, Surfaced / 20 mm [NZ]",243,m3,4.86,m²,,,,20.18,0.9,420,kg/m3,11,kg/m2,S-P-01543,product_specific,EPD Australasia Limited,
g1g2cs,S-P-01642,g1g2cs,"Lime Plaster, NHL 3.5 / Kerakoll / Biocalce Intonaco line @ 2 cm [EU]",0.394,kg,10.24,m² @ 2 cm,,,,,,,,,,S-P-01642,product_specific,The International EPD System,
d0rk2l,S-P-01928 (registration MR-ENV-EPD-ZDB-20200278-EN),d0rk2l,"Bamboo Cladding / Dasso / dassoXTR Bamboo RainClad® Siding / Shiplap, 3/4'' (19 mm)",1.049,kg,22.92,"m2 @3/4""",,29.61,,,0.9,1150,kg/m3,21.85,kg/m2,S-P-01928 (registration MR-ENV-EPD-ZDB-20200278-EN),product_specific,The International EPD® System,
s0glec,S-P-01928 (registration MR-ENV-EPD-ZDB-20200278-EN),s0glec,"Bamboo Cladding / Dasso / dassoCTECH outdoor oiled Cladding / Shiplap, 5/8"" (18 mm)",1.019,kg,22.93,"m2 @5/8""",,30.49,,,0.9,1250,kg/m3,22.5,kg/m2,S-P-01928 (registration MR-ENV-EPD-ZDB-20200278-EN),product_specific,The International EPD® System,
INS011,S-P-01961,INS011,Hemp fiber batt / Ekolution / Hemp fiber insulation / R 3.6-inch [EU],2.2,m2 @ 100 mm and 3.5 kg,0.87,m2•RSI,4.4,1.58,,,0.9,35,kg/m3,,,S-P-01961,product_specific,EPD International AB,75
4gd03s,S-P-02278,4gd03s,"Clay Plaster, pre-packaged / Clayworks / Tonal or Smooth finishes @ 2 mm [EU]",0.068,kg,0.21,m² @ 2 mm,,,,,,1550,kg/m3,,,S-P-02278,product_specific,The International EPD System,
ekda34,S-P-02278,ekda34,"Clay Plaster, pre-packaged / Clayworks / Rustic or Demi Rustic finish @ 2 mm [EU]",0.048,kg,0.15,m² @ 2 mm,,,,,,1550,kg/m3,,,S-P-02278,product_specific,The International EPD System,
INS012,S-P-02290,INS012,Hemp fiber batt / KOBE-cz / ECO HempFlex insulation / R 3.6-inch [EU],2.2,m2 @ 100 mm and 3.5 kg,0.87,m2•RSI,4.4,1.58,,,0.9,35,kg/m3,,,S-P-02290,product_specific,EPD International AB,
p3m1f1,S-P-03160,p3m1f1,"Cement ""Stucco"" Plaster / Beissier / Premixed Mortar @ 1/2"" [EU]",0.321,kg,5.3,"m² @ 1/2""",,,,,,1300,kg/m3,,,S-P-03160,product_specific,The International EPD System,
LCP001,S-P-03516,LCP001,"Lime/Cork Plaster (Ext. & Int.) / Diasen / Diathonite Evolution, R3.2-inch / 3/4"" [EU]",0.793,kg,5.44,"m2 @0.01905 m (3/4"")",0.0495,0.31,,,0.9,360,kg/m3,6.858,"kg/m2 at 0.01905 (3/4"")",S-P-03516,product_specific,International EPD System,
LCP002,S-P-03516,LCP002,"Lime/Cork Plaster (Ext. & Int.) / Diasen / Diathonite Thermactive.037, R3.9-inch / 3/4"" [EU]",0.873,kg,4.16,"m2 @0.01905 m (3/4"")",0.0906,0.39,,,0.9,250,kg/m3,4.7625,"kg/m2 at 0.01905 (3/4"")",S-P-03516,product_specific,International EPD System,
LCP003,S-P-03516,LCP003,"Lime/Cork Plaster (Int.) / Diasen / Diathonite Acoustix, 3/4"" [EU]",0.858,kg,7.68,"m2 @0.01905 m (3/4"")",0.0786,0.63,,,0.9,470,kg/m3,8.95,"kg/m2 at 0.01905 (3/4"")",S-P-03516,product_specific,International EPD System,
b4t02m,S-P-03854,b4t02m,Straw Bale / Wheat & barley straw / SNaB (UK) / R 2.8/inch [Industry Avg | EU],12.95,m3,0.67,m2•RSI,128.999477,6.71,,,0.9,100,kg/m3,5.2,kg/m2•RSI,S-P-03854,industry_average,EPD International AB,
b0emco,S-P-04001,b0emco,"Clay-Lime Plaster, pre-packaged / Armourcoat / Clime @ 2 mm [EU]",0.215,kg,0.54,m² @ 2 mm,,,,,,,,2.5,kg/m2 coverage spec,S-P-04001,product_specific,The International EPD System,
INS022,S-P-04468,INS022,Wool batt / Thermafleece / Cosywool Slab / R3.8-inch [EU],1,m2•RSI,1.03,m²•RSI,0.975,0.88,,,0.9,21,kg/m3,,,S-P-04468,product_specific,International EPD System,
INS023,S-P-04468,INS023,Wool batt / Thermafleece / Cosywool Roll / R3.7-inch [EU],0.9,m2•RSI,0.9,m²•RSI,0.858,0.77,,,0.9,18,kg/m3,,,S-P-04468,product_specific,International EPD System,
INS024,S-P-04468,INS024,Wool batt / Thermafleece / UltraWool Slab / R4.1-inch [EU],0.7,m2•RSI,0.71,m2•RSI,0.859,0.77,,,0.9,31,kg/m3,,,S-P-04468,product_specific,International EPD System,
FIB002,S-P-05037,FIB002,"Fiber Cement siding / JamesHardie / Hardie Plank HZ10, Hardie Panel HZ10, Hardie Architectural Panel HZ10 / 8 mm",6.84,m2,6.84,m²,1.94,1.75,,,0.9,9.79,kg/m2,,,S-P-05037,product_specific,EPD International,50
FIB003,S-P-05037,FIB003,"Fiber Cement siding / JamesHardie / Hardie Plank HZ5, Hardie Panel HZ5, Hardie Architectural Panel HZ5 / 8 mm",7.63,m2,7.63,m2,1.93,1.74,,,0.9,9.79,kg/m2,,,S-P-05037,product_specific,EPD International,50
FIB004,S-P-05037,FIB004,Fiber Cement siding / JamesHardie / Hardie Shingle HZ10 /  6.3 mm,5.11,m2,5.11,m²,1.36,1.22,,,0.9,7.86,kg/m2,,,S-P-05037,product_specific,EPD International,50
FIB005,S-P-05037,FIB005,Fiber Cement siding / JamesHardie / Hardie Shingle HZ5 / 6.3 mm,5.98,m2,5.98,m²,1.56,1.4,,,0.9,7.86,kg/m2,,,S-P-05037,product_specific,EPD International,50
GRE000,S-P-05961,GRE000,"Green roof system / Knauf / Urbanscape Green Roof System / Extensive, min. 40 mm depth, Saturated weight 57.55 kg/m2 [EU]",7.73,m2,7.73,m2,,,,,,57.55,kg/m2 saturated,20.55,kg/m2 dry,S-P-05961,product_specific,International EPD System,
HTW003,S-P-07182,HTW003,Heat Treated Wood Cladding / Russwood / Accoya profiled cladding / 20 mm [EU],1080,m3,21.6,m²,774,,15.48,,0.9,515,kg/m3,,,S-P-07182,product_specific,EPD International AB,60
BAM000,S-P-08118,BAM000,"Bamboo Cladding / Lamboo / Rainscreen™ Facing System / 11/16"" (17 mm)",4.74,kg,57.02,m²,1.56,18.47,,,0.9,689,kg/m3,12.03,"kg/m2 at 11/16""",S-P-08118,product_specific,EPD International AB,
BAM001,S-P-08118,BAM001,Bamboo Glulam / Lamboo / Structural Grade Product Systems,4.74,kg,3265.86,m³,1.56,,,,0.9,689,kg/m3,,,S-P-08118,product_specific,EPD International AB,
Cel000,S-P-08315,Cel000,Cellulose / batt / Ekovilla / Ekovilla Slab / R3.7-inch [EU],1.36,m2•RSI,1.36,m2•RSI,1.91,1.72,,,0.9,40,kg/m3,,,S-P-08315,product_specific,EPD International AB,50
WRT000,S-P-10277,WRT000,"Wood tube studs / Wood Tube // 1.5 x 2.5"" / Recycled paper, stud only [EU]",0.168,m,4.41,"m2 at 2.5""",1.7,40.16,,,0.9,0.625,kg/m li.,258.33,kg/ m3 of tube,S-P-10277,product_specific,International EPD System,
INS003,S-P-10940,INS003,Compressed straw board / Durra Panel / Durra Wall & Ceiling Panels / 50 mm / R1.8-inch,5.7,m2,9.28,m²•RSI,25,36.45,,,0.9,,,,,S-P-10940,product_specific,EPD Australasia,
WAL001,S-P-10940,WAL001,Straw board partition wall / Durra Panel / Durra Wall Panels / 50 mm [AUS],5.7,m2,5.73,m²,25,22.5,,,0.9,18.5,kg/m2,,,S-P-10940,product_specific,EPD Australasia,
