ID,Display Name,Listed,Do Not List,Industry Avg,BEAM Avg,EPD Expiry,Footnote,Material,Manufacturer,Product Brand Name,Specifications,Notes,Countries of Manufacture,Markets of Applicability,Data added or modified,Stated EPD kgCO2e / unit,GWP units kgCO2e per,GWP kgCO2e/(common unit),Common Unit: kgCO2e / _,Metric Units,Imperial Units,GWP-bio from EPD kg CO2e/common unit,Biogenic carbon factor,% Carbon content (kgC/kg),Biogenic Storage kgCO2e/(common unit),Common Unit: kgCO2e / _,WWF Storage Factor kgCO2e/kgC,Carbon content kgC/unit,Units: kgC / _,Biogenic CO2 kg - full C value,Storage % Reduction,Density,Density Units,Addn'l factors,Addn'l factor units,R-value / inch,"k, Thermal Conductivity
W/(mK)",Moisture content %,Mass (kg),Length (m) ,Width (m) ,Depth (m) ,Unit Volume (m3),Units/m2,Material Type,Material Subtype,Product Type,Product Subtype,CSI MasterFormat,EPD ID,EPD Type,EPD Owner,EPD/LCA Prepared by,EPD Program / Operator,Internal/External Validation,EPD Verifying Agent,EPD Standards,EPD PCR Guidelines,LCA Method,EPD LCA Software,EPD LCI Database,Product Service Life (Years),Source document URL,
REB006,"Rebar / Concrete Reinforcing Steel Institute / 98% recycled, EAF / [Industry Avg | N.America] / #6",TRUE,FALSE,TRUE,FALSE,2027,"=IFERROR(@__xludf.DUMMYFUNCTION(""IFS(ISDATE(G243),IF(G243<TODAY(),""""Expired """"&TO_TEXT(G243),),ISNUMBER(G243), IF(G243<YEAR(TODAY()),""""Expired """"&G243,),ISBLANK(G243),)""),"""")",Rebar,Concrete Reinforcing Steel Institute,US sizes,#6,"Includes: Evraz, CMC, Cascade, Steel Dynamics, Nucor",US & CA,US & CA,45328,=854/1000,kg,=Q243*AI243,m,m,ft,,,,,,,,,,,7850,kg/m3,2.24,kg/m,,,,,,,,,,Steel,,Rebar,,,EPD 362,Industry average,Concrete Reinforcing Steel Institute,ASTM International,ASTM International,External,Industrial Ecology Consultants,ISO 21930:2017,"Designated Steel Construction Product, UL 2020",TRACI 2.1,,GaBi 2021,,https://drive.google.com/file/d/1e3eElPA9wWKf_g9471xuodVGxJ3N7_If/view?usp=drive_link,
REB007,"Rebar / Concrete Reinforcing Steel Institute / 98% recycled, EAF / [Industry Avg | N.America] / #7",TRUE,FALSE,TRUE,FALSE,2027,"=IFERROR(@__xludf.DUMMYFUNCTION(""IFS(ISDATE(G244),IF(G244<TODAY(),""""Expired """"&TO_TEXT(G244),),ISNUMBER(G244), IF(G244<YEAR(TODAY()),""""Expired """"&G244,),ISBLANK(G244),)""),"""")",Rebar,Concrete Reinforcing Steel Institute,US sizes,#7,"Includes: Evraz, CMC, Cascade, Steel Dynamics, Nucor",US & CA,US & CA,45328,=854/1000,kg,=Q244*AI244,m,m,ft,,,,,,,,,,,7850,kg/m3,3.049,kg/m,,,,,,,,,,Steel,,Rebar,,,EPD 362,Industry average,Concrete Reinforcing Steel Institute,ASTM International,ASTM International,External,Industrial Ecology Consultants,ISO 21930:2017,"Designated Steel Construction Product, UL 2020",TRACI 2.1,,GaBi 2021,,https://drive.google.com/file/d/1e3eElPA9wWKf_g9471xuodVGxJ3N7_If/view?usp=drive_link,
REB008,"Rebar / Concrete Reinforcing Steel Institute / 98% recycled, EAF / [Industry Avg | N.America] / #8",TRUE,FALSE,TRUE,FALSE,2027,"=IFERROR(@__xludf.DUMMYFUNCTION(""IFS(ISDATE(G245),IF(G245<TODAY(),""""Expired """"&TO_TEXT(G245),),ISNUMBER(G245), IF(G245<YEAR(TODAY()),""""Expired """"&G245,),ISBLANK(G245),)""),"""")",Rebar,Concrete Reinforcing Steel Institute,US sizes,#8,"Includes: Evraz, CMC, Cascade, Steel Dynamics, Nucor",US & CA,US & CA,45328,=854/1000,kg,=Q245*AI245,m,m,ft,,,,,,,,,,,7850,kg/m3,3.982,kg/m,,,,,,,,,,Steel,,Rebar,,,EPD 362,Industry average,Concrete Reinforcing Steel Institute,ASTM International,ASTM International,External,Industrial Ecology Consultants,ISO 21930:2017,"Designated Steel Construction Product, UL 2020",TRACI 2.1,,GaBi 2021,,https://drive.google.com/file/d/1e3eElPA9wWKf_g9471xuodVGxJ3N7_If/view?usp=drive_link,
891444,Rubber flooring / Resilient Floor Covering Institute / Includes tiles and rolls / 2mm [Industry Avg | US & CA],TRUE,FALSE,TRUE,FALSE,2024,"=IFERROR(@__xludf.DUMMYFUNCTION(""IFS(ISDATE(G246),IF(G246<TODAY(),""""Expired """"&TO_TEXT(G246),),ISNUMBER(G246), IF(G246<YEAR(TODAY()),""""Expired """"&G246,),ISBLANK(G246),)""),""Expired 2024"")",Rubber flooring,Resilient Floor Covering Institute,"Includes tiles and rolls from American Biltrite, Armstrong, Burke, FLEXCO, Johnsonite, Mannington, Roppe, Tarkett",,,,US & CA,,15.6,m²,15.6,m²,m²,ft²,,,,,,,,,,,5.6,kg/m2,,,,,,,,,0.002,,,,,,,,4788753451.104.1 ,Industry average,,UL Environment,,,,,,,,,,,
237e64,"SBS Modified Bitumen Roofing / ARMA / Includes: CertainTeed, Firestone, GAF, Henry, IKO, Johns Mansville, Malarkey, Siplast, Soprema / [Industry Avg | US & CA]",TRUE,FALSE,TRUE,FALSE,2021,"=IFERROR(@__xludf.DUMMYFUNCTION(""IFS(ISDATE(G247),IF(G247<TODAY(),""""Expired """"&TO_TEXT(G247),),ISNUMBER(G247), IF(G247<YEAR(TODAY()),""""Expired """"&G247,),ISBLANK(G247),)""),""Expired 2021"")",SBS Modified Bitumen Roofing,ARMA,"Includes: CertainTeed, Firestone, GAF, Henry, IKO, Johns Mansville, Malarkey, Siplast, Soprema",,Installed,,US & CA,,6.7,m²,6.7,m²,m²,ft²,,0.04,,,,,,,,,8.4,kg/m2,,,,,,,,,,,,,,,,,4787168709.104.1 ,Industry average,,UL Environment,,,,,,,,,,,
SIP000,"SIP panels - EPS foam & OSB / SIPA / R-15 4.5"" panel [Industry Avg | N America]",TRUE,FALSE,TRUE,FALSE,2029,"Pre-publication EPD, BfCA BioC calc by mass",SIP panel,SIPA,"ACME Panel, Enercept, Extreme Panel Technologies, FischerSIPS, Insulspan, Lamit, PorterCorp, Preflex, Premier Building Systems, Thermafoam R-Control, Urban Industries",,,US & CA,US & CA,45324,11.1,m2•RSI,=Q248*2.646,m2,m²,ft²,24.09,0.925,0.5,,m2  ,=W248*AF248,,,=AI248*X248*Y248*3.67,0.9,17.804,kg/m2 at RSI1,=662*0.0254,kg/m2 at two layers of 1/2 inch osb,,,,,,,,,,EPS & OSB,,SIP panel,panel,,Not yet published,Industry average,SIPA,McMac CX,EPD Hub,,,EN 15804+A2:2019,EPD Hub Core PRC 1.0,,,,,,
SIP001,"SIP panels - EPS foam & OSB / SIPA / R-23 6.5"" panel [Industry Avg | N America]",TRUE,FALSE,TRUE,FALSE,2029,"Pre-publication EPD, BfCA BioC calc by mass",SIP panel,SIPA,"ACME Panel, Enercept, Extreme Panel Technologies, FischerSIPS, Insulspan, Lamit, PorterCorp, Preflex, Premier Building Systems, Thermafoam R-Control, Urban Industries",,,US & CA,US & CA,45324,11.1,m2•RSI,=Q249*4.06,m2,m²,ft²,24.09,0.925,0.5,,m2  ,=W249*AF249,,,,0.9,17.804,kg/m2 at RSI1,=662*0.0254,kg/m2 at two layers of 1/2 inch osb,,,,,,,,,,EPS & OSB,,SIP panel,panel,,Not yet published,Industry average,SIPA,McMac CX,EPD Hub,,,EN 15804+A2:2019,EPD Hub Core PRC 1.0,,,,,,
SIP002,"SIP panels - EPS foam & OSB / SIPA / R-30 8.25"" panel [Industry Avg | N America]",TRUE,FALSE,TRUE,FALSE,2029,"Pre-publication EPD, BfCA BioC calc by mass",SIP panel,SIPA,"ACME Panel, Enercept, Extreme Panel Technologies, FischerSIPS, Insulspan, Lamit, PorterCorp, Preflex, Premier Building Systems, Thermafoam R-Control, Urban Industries",,,US & CA,US & CA,45324,11.1,m2•RSI,=Q250*5.29,m2,m²,ft²,24.09,0.925,0.5,,m2  ,=W250*AF250,,,,0.9,17.804,kg/m2 at RSI1,=662*0.0254,kg/m2 at two layers of 1/2 inch osb,,,,,,,,,,EPS & OSB,,SIP panel,panel,,Not yet published,Industry average,SIPA,McMac CX,EPD Hub,,,EN 15804+A2:2019,EPD Hub Core PRC 1.0,,,,,,
SIP003,"SIP panels - EPS foam & OSB / SIPA / R-38 10.25"" panel [Industry Avg | N America] ",TRUE,FALSE,TRUE,FALSE,2029,"Pre-publication EPD, BfCA BioC calc by mass",SIP panel,SIPA,"ACME Panel, Enercept, Extreme Panel Technologies, FischerSIPS, Insulspan, Lamit, PorterCorp, Preflex, Premier Building Systems, Thermafoam R-Control, Urban Industries",,,US & CA,US & CA,45324,11.1,m2•RSI,=Q251*6.7,m2,m²,ft²,24.09,0.925,0.5,,m2  ,=W251*AF251,,,,0.9,17.804,kg/m2 at RSI1,=662*0.0254,kg/m2 at two layers of 1/2 inch osb,,,,,,,,,,EPS & OSB,,SIP panel,panel,,Not yet published,Industry average,SIPA,McMac CX,EPD Hub,,,EN 15804+A2:2019,EPD Hub Core PRC 1.0,,,,,,
SIP004,"SIP panels - EPS foam & OSB / SIPA / R-45 12.25"" panel [Industry Avg | N America] ",TRUE,FALSE,TRUE,FALSE,2029,"Pre-publication EPD, BfCA BioC calc by mass",SIP panel,SIPA,"ACME Panel, Enercept, Extreme Panel Technologies, FischerSIPS, Insulspan, Lamit, PorterCorp, Preflex, Premier Building Systems, Thermafoam R-Control, Urban Industries",,,US & CA,US & CA,45324,11.1,m2•RSI,=Q252*7.937,m2,m²,ft²,24.09,0.925,0.5,,m2  ,=W252*AF252,,,,0.9,17.804,kg/m2 at RSI1,=662*0.0254,kg/m2 at two layers of 1/2 inch osb,,,,,,,,,,EPS & OSB,,SIP panel,panel,,Not yet published,Industry average,SIPA,McMac CX,EPD Hub,,,EN 15804+A2:2019,EPD Hub Core PRC 1.0,,,,,,
8ded24,Spray polyurethane foam - Closed Cell (HFC gas) / R 6.6-inch / SPFA [Industry Avg | US & CA],TRUE,FALSE,TRUE,FALSE,2023,A1-B1,Spray polyurethane foam - Closed Cell - HFC gas filled,SPFA,,R 6.6/inch,"Includes: Accella, BASF, DAP, Demilec, Dow, Gaco Western, General Coatings, ICP, Icynene Lapolla, Johns Manville, NCFI, SES",,US & CA,,13.16,m2•RSI,13.16,m2•RSI,m²•RSI,ft²•R,,,,,,,,,,,31.2,kg/m3,,,6.6,=0.0254*5.678/AK253,,,,,,,,Polyurethane,,Insulation,Spray foam,,EPD-087,Industry average,,ASTM International,,,,,,,,,,,
INS040,Spray polyurethane foam - Closed Cell (HFO gas) / R 6.6-inch / SPFA [Industry Avg | US & CA],TRUE,FALSE,TRUE,FALSE,46652,A1-A3 + B1,Spray polyurethane foam - Closed Cell - HFO gas filled,SPFA,"Includes: Accella, BASF, DAP, Demilec, Dupont, Gaco Western, General Coatings, ICP, Icynene Lapolla, Johns Manville, NCFI, SES",R 6.6/inch,"Includes: Accella, BASF, DAP, Demilec, Dow, Gaco Western, General Coatings, ICP, Icynene Lapolla, Johns Manville, NCFI, SES",,US & CA,44987,3.47,m2•RSI,=Q254,m2•RSI,m²•RSI,ft²•R,,,,,,,,,,,31.2,kg/m3,,,6.6,=0.0254*5.678/AK254,,,,,,,,Polyurethane,,Insulation,Spray foam,,EPD 070 ,Industry average,SPFA,ASTM,ASTM,External,Timothy S. Brooke,ISO 21930:2017,"Building envelope thermal insulation, UL 2018",,GaBi ts,GaBi 2018,75,,
dc197c,Spray polyurethane foam - High Density (HFC gas) / R 6.3-inch / SPFA [Industry Avg | US & CA],TRUE,FALSE,TRUE,FALSE,2023,A1-B1,Spray polyurethane foam - High Density - HFC gas filled,SPFA,,R 6.3/inch,"Includes: Accella, BASF, DAP, Demilec, Dow, Gaco Western, General Coatings, ICP, Icynene Lapolla, Johns Manville, NCFI, SES",,US & CA,,17.02,m2•RSI,17.02,m2•RSI,m²•RSI,ft²•R,,,,,,,,,,,52,kg/m3,,,6.3,=0.0254*5.678/AK255,,,,,,,,Polyurethane,,Insulation,Spray foam,,EPD-087,Industry average,,ASTM International,,,,,,,,,,,
INS045,Spray polyurethane foam - High Density (HFO gas) / R 6.5-inch / SPFA [Industry Avg | US & CA],TRUE,FALSE,TRUE,FALSE,46652,A1-A3 + B1,Spray polyurethane foam - High Density - HFO gas filled,SPFA,"Includes: Accella, BASF, DAP, Demilec, Dupont, Gaco Western, General Coatings, ICP, Icynene Lapolla, Johns Manville, NCFI, SES",R 6.5/inch,"Includes: Accella, BASF, DAP, Demilec, Dow, Gaco Western, General Coatings, ICP, Icynene Lapolla, Johns Manville, NCFI, SES",,US & CA,44988,4.05,m2•RSI,=Q256,m2•RSI,m²•RSI,ft²•R,,,,,,,,,,,52,kg/m3,,,6.5,=0.0254*5.678/AK256,,,,,,,,Polyurethane,,Insulation,Spray foam,,EPD 070,Industry average,SPFA,ASTM,ASTM,External,Timothy S. Brooke,ISO 21930:2018,"Building envelope thermal insulation, UL 2019",,GaBi ts,GaBi 2019,75,,
INS043,Spray polyurethane foam - Open Cell / R 4.1-inch / SPFA [Industry Avg | US & CA],TRUE,FALSE,TRUE,FALSE,46652,A1-A3 + B1,Spray polyurethane foam - Open Cell - HFO gas,SPFA,"Includes: Accella, BASF, DAP, Demilec, Dupont, Gaco Western, General Coatings, ICP, Icynene Lapolla, Johns Manville, NCFI, SES",R 4.1/inch,"Includes: Accella, BASF, DAP, Demilec, Dow, Gaco Western, General Coatings, ICP, Icynene Lapolla, Johns Manville, NCFI, SES",,US & CA,44989,1.42,m2•RSI,=Q257,m2•RSI,m²•RSI,ft²•R,,,,,,,,,,,9.6,kg/m3,,,4.1,=0.0254*5.678/AK257,,,,,,,,Polyurethane,,Insulation,Spray foam,,EPD 070,Industry average,SPFA,ASTM,ASTM,External,Timothy S. Brooke,ISO 21930:2019,"Building envelope thermal insulation, UL 2020",,GaBi ts,GaBi 2020,75,,
STR000,"Structural Steel / L-Angle / L 3.5 x 3.5 x 1/4""/ AISC [Industry Avg | US]",TRUE,FALSE,TRUE,FALSE,2026,"=IFERROR(@__xludf.DUMMYFUNCTION(""IFS(ISDATE(G258),IF(G258<TODAY(),""""Expired """"&TO_TEXT(G258),),ISNUMBER(G258), IF(G258<YEAR(TODAY()),""""Expired """"&G258,),ISBLANK(G258),)""),"""")",Structural Steel - L-Angle,American Institute of Steel Construction,Hot-rolled strucutural steel,"Angle L 3.5"" x 3.5"" x 1/4""",,US,US & CA,45328,1.22,kg,=Q258*AI258,linear m,m,ft,,,,,,,,,,,7800,kg/m3,8.55,kg/m,,,,,,,,,,Steel,,Structure,Beam,,4789556099.102.1,Industry average,American Institute of Steel Construction,UL Environment,UL Environment,External,Industrial Ecology Consultants,ISO 21930:2017,"Designated Steel Construction Product, UL 2020",TRACI 2.1,GaBi v10,GaBi 2020,,https://drive.google.com/file/d/1sfL_dguVIBVby-kSe1trmJEo8T43YUhS/view?usp=drive_link,
STR001,"Structural Steel / Rectangular HSS / 8 x 6 x 5/16""/ AISC [Industry Avg | US]",TRUE,FALSE,TRUE,FALSE,2026,"=IFERROR(@__xludf.DUMMYFUNCTION(""IFS(ISDATE(G259),IF(G259<TODAY(),""""Expired """"&TO_TEXT(G259),),ISNUMBER(G259), IF(G259<YEAR(TODAY()),""""Expired """"&G259,),ISBLANK(G259),)""),"""")",Structural Steel / Rectangular HSS,American Institute of Steel Construction,Hot-rolled strucutural steel,"Rectangular HSS 8"" x 6"" x 5/16""",,US,US & CA,45328,1.22,kg,=Q259*AI259,linear m,m,ft,,,,,,,,,,,7800,kg/m3,41.1,kg/m,,,,,,,,,,Steel,,Structure,Beam,,4789556099.102.1,Industry average,American Institute of Steel Construction,UL Environment,UL Environment,External,Industrial Ecology Consultants,ISO 21930:2017,"Designated Steel Construction Product, UL 2021",TRACI 2.2,GaBi v11,GaBi 2021,,https://drive.google.com/file/d/1sfL_dguVIBVby-kSe1trmJEo8T43YUhS/view?usp=drive_link,
STR002,"Structural Steel / Square HSS / 3 x 3 x 3/16""/ AISC [Industry Avg | US]",TRUE,FALSE,TRUE,FALSE,2026,"=IFERROR(@__xludf.DUMMYFUNCTION(""IFS(ISDATE(G260),IF(G260<TODAY(),""""Expired """"&TO_TEXT(G260),),ISNUMBER(G260), IF(G260<YEAR(TODAY()),""""Expired """"&G260,),ISBLANK(G260),)""),"""")",Structural Steel / Square HSS,American Institute of Steel Construction,Hot-rolled strucutural steel,"Square HSS 3"" x 3"" x 3/16""",,US,US & CA,45328,1.22,kg,=Q260*AI260,linear m,m,ft,,,,,,,,,,,7800,kg/m3,10.3,kg/m,,,,,,,,,,Steel,,Structure,Beam,,4789556099.102.1,Industry average,American Institute of Steel Construction,UL Environment,UL Environment,External,Industrial Ecology Consultants,ISO 21930:2017,"Designated Steel Construction Product, UL 2022",TRACI 2.3,GaBi v12,GaBi 2022,,https://drive.google.com/file/d/1sfL_dguVIBVby-kSe1trmJEo8T43YUhS/view?usp=drive_link,
STR003,"Structural Steel / Square HSS / 4 x 4 x 1/4""/ AISC [Industry Avg | US]",TRUE,FALSE,TRUE,FALSE,2026,"=IFERROR(@__xludf.DUMMYFUNCTION(""IFS(ISDATE(G261),IF(G261<TODAY(),""""Expired """"&TO_TEXT(G261),),ISNUMBER(G261), IF(G261<YEAR(TODAY()),""""Expired """"&G261,),ISBLANK(G261),)""),"""")",Structural Steel / Square HSS,American Institute of Steel Construction,Hot-rolled strucutural steel,"Square HSS 4"" x 4"" x 1/4""",,US,US & CA,45328,1.22,kg,=Q261*AI261,linear m,m,ft,,,,,,,,,,,7800,kg/m3,32.2,kg/m,,,,,,,,,,Steel,,Structure,Beam,,4789556099.102.1,Industry average,American Institute of Steel Construction,UL Environment,UL Environment,External,Industrial Ecology Consultants,ISO 21930:2017,"Designated Steel Construction Product, UL 2023",TRACI 2.4,GaBi v13,GaBi 2023,,https://drive.google.com/file/d/1sfL_dguVIBVby-kSe1trmJEo8T43YUhS/view?usp=drive_link,
STR004,"Structural Steel / Square HSS / 5 x 5 x 1/4""/ AISC [Industry Avg | US]",TRUE,FALSE,TRUE,FALSE,2026,"=IFERROR(@__xludf.DUMMYFUNCTION(""IFS(ISDATE(G262),IF(G262<TODAY(),""""Expired """"&TO_TEXT(G262),),ISNUMBER(G262), IF(G262<YEAR(TODAY()),""""Expired """"&G262,),ISBLANK(G262),)""),"""")",Structural Steel / Square HSS,American Institute of Steel Construction,Hot-rolled strucutural steel,"Square HSS 5"" x 5"" x 1/4""",,US,US & CA,45328,1.22,kg,=Q262*AI262,linear m,m,ft,,,,,,,,,,,7800,kg/m3,23.2,kg/m,,,,,,,,,,Steel,,Structure,Beam,,4789556099.102.1,Industry average,American Institute of Steel Construction,UL Environment,UL Environment,External,Industrial Ecology Consultants,ISO 21930:2017,"Designated Steel Construction Product, UL 2024",TRACI 2.5,GaBi v14,GaBi 2024,,https://drive.google.com/file/d/1sfL_dguVIBVby-kSe1trmJEo8T43YUhS/view?usp=drive_link,
STR005,"Structural Steel / Square HSS / 5 x 5 x 1/2""/ AISC [Industry Avg | US]",TRUE,FALSE,TRUE,FALSE,2026,"=IFERROR(@__xludf.DUMMYFUNCTION(""IFS(ISDATE(G263),IF(G263<TODAY(),""""Expired """"&TO_TEXT(G263),),ISNUMBER(G263), IF(G263<YEAR(TODAY()),""""Expired """"&G263,),ISBLANK(G263),)""),"""")",Structural Steel / Square HSS,American Institute of Steel Construction,Hot-rolled strucutural steel,"Square HSS 5"" x 5"" x 1/2""",,US,US & CA,45328,1.22,kg,=Q263*AI263,linear m,m,ft,,,,,,,,,,,7800,kg/m3,42.3,kg/m,,,,,,,,,,Steel,,Structure,Beam,,4789556099.102.1,Industry average,American Institute of Steel Construction,UL Environment,UL Environment,External,Industrial Ecology Consultants,ISO 21930:2017,"Designated Steel Construction Product, UL 2025",TRACI 2.6,GaBi v15,GaBi 2025,,https://drive.google.com/file/d/1sfL_dguVIBVby-kSe1trmJEo8T43YUhS/view?usp=drive_link,
STR006,"Structural Steel / Square HSS / 8 x 8 x 1/4""/ AISC [Industry Avg | US]",TRUE,FALSE,TRUE,FALSE,2026,"=IFERROR(@__xludf.DUMMYFUNCTION(""IFS(ISDATE(G264),IF(G264<TODAY(),""""Expired """"&TO_TEXT(G264),),ISNUMBER(G264), IF(G264<YEAR(TODAY()),""""Expired """"&G264,),ISBLANK(G264),)""),"""")",Structural Steel / Square HSS,American Institute of Steel Construction,Hot-rolled strucutural steel,"Square HSS 8"" x 8"" x 1/4""",,US,US & CA,45328,1.22,kg,=Q264*AI264,linear m,m,ft,,,,,,,,,,,7800,kg/m3,37.9,kg/m,,,,,,,,,,Steel,,Structure,Beam,,4789556099.102.1,Industry average,American Institute of Steel Construction,UL Environment,UL Environment,External,Industrial Ecology Consultants,ISO 21930:2017,"Designated Steel Construction Product, UL 2026",TRACI 2.7,GaBi v16,GaBi 2026,,https://drive.google.com/file/d/1sfL_dguVIBVby-kSe1trmJEo8T43YUhS/view?usp=drive_link,
STR007,Structural Steel / Wide Flange / W150x22 (US W6x15) / AISC [Industry Avg | US],TRUE,FALSE,TRUE,FALSE,2026,"=IFERROR(@__xludf.DUMMYFUNCTION(""IFS(ISDATE(G265),IF(G265<TODAY(),""""Expired """"&TO_TEXT(G265),),ISNUMBER(G265), IF(G265<YEAR(TODAY()),""""Expired """"&G265,),ISBLANK(G265),)""),"""")",Structural Steel / Wide Flange,American Institute of Steel Construction,Hot-rolled strucutural steel,W150x22 (W6x15),,US,US & CA,45328,1.22,kg,=Q265*AI265,linear m,m,ft,,,,,,,,,,,7800,kg/m3,22.5,kg/m,,,,,,,,,,Steel,,Structure,Beam,,4789556099.102.1,Industry average,American Institute of Steel Construction,UL Environment,UL Environment,External,Industrial Ecology Consultants,ISO 21930:2017,"Designated Steel Construction Product, UL 2027",TRACI 2.8,GaBi v17,GaBi 2027,,https://drive.google.com/file/d/1sfL_dguVIBVby-kSe1trmJEo8T43YUhS/view?usp=drive_link,
STR008,Structural Steel / Wide Flange / W150x30 (US W6x20) / AISC [Industry Avg | US],TRUE,FALSE,TRUE,FALSE,2026,"=IFERROR(@__xludf.DUMMYFUNCTION(""IFS(ISDATE(G266),IF(G266<TODAY(),""""Expired """"&TO_TEXT(G266),),ISNUMBER(G266), IF(G266<YEAR(TODAY()),""""Expired """"&G266,),ISBLANK(G266),)""),"""")",Structural Steel / Wide Flange,American Institute of Steel Construction,Hot-rolled strucutural steel,W150x30 (W6x20),,US,US & CA,45328,1.22,kg,=Q266*AI266,linear m,m,ft,,,,,,,,,,,7800,kg/m3,29.8,kg/m,,,,,,,,,,Steel,,Structure,Beam,,4789556099.102.1,Industry average,American Institute of Steel Construction,UL Environment,UL Environment,External,Industrial Ecology Consultants,ISO 21930:2017,"Designated Steel Construction Product, UL 2028",TRACI 2.9,GaBi v18,GaBi 2028,,https://drive.google.com/file/d/1sfL_dguVIBVby-kSe1trmJEo8T43YUhS/view?usp=drive_link,
STR009,Structural Steel / Wide Flange / W200x22 (US W8x15) / AISC [Industry Avg | US],TRUE,FALSE,TRUE,FALSE,2026,"=IFERROR(@__xludf.DUMMYFUNCTION(""IFS(ISDATE(G267),IF(G267<TODAY(),""""Expired """"&TO_TEXT(G267),),ISNUMBER(G267), IF(G267<YEAR(TODAY()),""""Expired """"&G267,),ISBLANK(G267),)""),"""")",Structural Steel / Wide Flange,American Institute of Steel Construction,Hot-rolled strucutural steel,W200x22 (W8x15),,US,US & CA,45328,1.22,kg,=Q267*AI267,linear m,m,ft,,,,,,,,,,,7800,kg/m3,22.5,kg/m,,,,,,,,,,Steel,,Structure,Beam,,4789556099.102.1,Industry average,American Institute of Steel Construction,UL Environment,UL Environment,External,Industrial Ecology Consultants,ISO 21930:2017,"Designated Steel Construction Product, UL 2029",TRACI 2.10,GaBi v19,GaBi 2029,,https://drive.google.com/file/d/1sfL_dguVIBVby-kSe1trmJEo8T43YUhS/view?usp=drive_link,
STR010,Structural Steel / Wide Flange / W200x27 (US W8x18) / AISC [Industry Avg | US],TRUE,FALSE,TRUE,FALSE,2026,"=IFERROR(@__xludf.DUMMYFUNCTION(""IFS(ISDATE(G268),IF(G268<TODAY(),""""Expired """"&TO_TEXT(G268),),ISNUMBER(G268), IF(G268<YEAR(TODAY()),""""Expired """"&G268,),ISBLANK(G268),)""),"""")",Structural Steel / Wide Flange,American Institute of Steel Construction,Hot-rolled strucutural steel,W200x27 (W8x18),,US,US & CA,45328,1.22,kg,=Q268*AI268,linear m,m,ft,,,,,,,,,,,7800,kg/m3,26.6,kg/m,,,,,,,,,,Steel,,Structure,Beam,,4789556099.102.1,Industry average,American Institute of Steel Construction,UL Environment,UL Environment,External,Industrial Ecology Consultants,ISO 21930:2017,"Designated Steel Construction Product, UL 2030",TRACI 2.11,GaBi v20,GaBi 2030,,https://drive.google.com/file/d/1sfL_dguVIBVby-kSe1trmJEo8T43YUhS/view?usp=drive_link,
STR011,Structural Steel / Wide Flange / W200x31 (US W8x21) / AISC [Industry Avg | US],TRUE,FALSE,TRUE,FALSE,2026,"=IFERROR(@__xludf.DUMMYFUNCTION(""IFS(ISDATE(G269),IF(G269<TODAY(),""""Expired """"&TO_TEXT(G269),),ISNUMBER(G269), IF(G269<YEAR(TODAY()),""""Expired """"&G269,),ISBLANK(G269),)""),"""")",Structural Steel / Wide Flange,American Institute of Steel Construction,Hot-rolled strucutural steel,W200x31 (W8x21),,US,US & CA,45328,1.22,kg,=Q269*AI269,linear m,m,ft,,,,,,,,,,,7800,kg/m3,31.3,kg/m,,,,,,,,,,Steel,,Structure,Beam,,4789556099.102.1,Industry average,American Institute of Steel Construction,UL Environment,UL Environment,External,Industrial Ecology Consultants,ISO 21930:2017,"Designated Steel Construction Product, UL 2031",TRACI 2.12,GaBi v21,GaBi 2031,,https://drive.google.com/file/d/1sfL_dguVIBVby-kSe1trmJEo8T43YUhS/view?usp=drive_link,
STR012,Structural Steel / Wide Flange / W200x36 (US W8x24) / AISC [Industry Avg | US],TRUE,FALSE,TRUE,FALSE,2026,"=IFERROR(@__xludf.DUMMYFUNCTION(""IFS(ISDATE(G270),IF(G270<TODAY(),""""Expired """"&TO_TEXT(G270),),ISNUMBER(G270), IF(G270<YEAR(TODAY()),""""Expired """"&G270,),ISBLANK(G270),)""),"""")",Structural Steel / Wide Flange,American Institute of Steel Construction,Hot-rolled strucutural steel,W200x36 (W8x24),,US,US & CA,45328,1.22,kg,=Q270*AI270,linear m,m,ft,,,,,,,,,,,7800,kg/m3,35.9,kg/m,,,,,,,,,,Steel,,Structure,Beam,,4789556099.102.1,Industry average,American Institute of Steel Construction,UL Environment,UL Environment,External,Industrial Ecology Consultants,ISO 21930:2017,"Designated Steel Construction Product, UL 2032",TRACI 2.13,GaBi v22,GaBi 2032,,https://drive.google.com/file/d/1sfL_dguVIBVby-kSe1trmJEo8T43YUhS/view?usp=drive_link,
