beam_id,epd_id_raw,ID,Display Name,Listed,Do Not List,Industry Avg,BEAM Avg,EPD Expiry,Footnote,Material,Manufacturer,Product Brand Name,Specifications,Notes,Countries of Manufacture,Markets of Applicability,Data added or modified,Stated EPD kgCO2e / unit,GWP units kgCO2e per,GWP kgCO2e/(common unit),Common Unit: kgCO2e / _,Metric Units,Imperial Units,GWP-bio from EPD,Biogenic carbon factor,% Carbon content (kgC/kg),Biogenic Storage,(common-unit repeat),WWF Storage Factor,Carbon content kgC/unit,(units kgC repeat),Biogenic CO2 full C value,Storage % Reduction,Density,Density Units,Addn'l factors,Addn'l factor units,R-value / inch,"k, Thermal Conductivity",Moisture content %,Mass (kg),Length (m),Width (m),Depth (m),Unit Volume (m3),Units/m2,Material Type,Material Subtype,Product Type,Product Subtype,(classification code — excluded §9),EPD ID,EPD Type,EPD Owner,EPD/LCA Prepared by,EPD Program / Operator,Internal/External Validation,EPD Verifying Agent,EPD Standards,EPD PCR Guidelines,LCA Method,EPD LCA Software,EPD LCI Database,Product Service Life (Years),Source document URL
CMU003,EPD-338,,,,,,,2022-09-06,,,Canadian Concrete Masonry Producers,,,,,the geographical coverage is Canada.,,138.67,Declaration Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,Portland Cement,,,,,1 m3 of concrete formed into manufactured,Industry Average,,James Salazar,ASTM International,,ASTM in accordance with ISO 14025: Timothy Brooke,"ISO 14025, ISO 21930, ISO 14040",Concrete Masonry and Segmental Concrete Paving Product EPD,and Version Number TRACI 2.1,and,ecoinvent 3.4,75,
91617a,EPD 3409-8229,,,,,,,2017-05-18,,,,,,,,,,207.9,3 treatment. The method is defined by the International,,,,,,,,,,,,,,,500,kg/m3,,,,,,,,,,,,LVL,,,,,3409-8229,,,,CSA Group,External,"Lindita Bushi, Athena","ISO 14025, ISO 21930, EN 15804, ISO 14040, CAN/CSA-ISO 14025",North American Structural and Architectural Wood Products (version,TRACI 2.1. The,SimaPro 8.3,ecoinvent 3.2,,
A12363,EPD 346,,,,,,,2027-07-27,,,Concrete Declared Product Alberta members.,,,,,,,273.04,The declared unit is 1 cubic metre of ready mixed concrete. Products covered by this EPD satisfy general,,,,,,,,,,,,,,,,,,,,,,,,,,,,Portland Cement,,,,,EPD 346,,"Edmonton, AB T6B 3T7",Athena Sustainable Materials Institute,NSF International,External,"Thomas P. Gloria, Ph.D., Industrial Ecology Consultants, ASTM International","ISO 14025:2006, ISO 21930:2017, EN 15804:2012, ISO 14040","for Concrete Version 2.1 (August 2021),",and other calculation methodologies are specified in Table 4. Tables 5 through 25 present the LCA results for,"V2 was used to gather the facility data, mix designs, and to conduct the LCA modeling.",ecoinvent 3.4,,
A12364,EPD 346,,,,,,,2027-07-27,,,Concrete Declared Product Alberta members.,,,,,,,273.04,The declared unit is 1 cubic metre of ready mixed concrete. Products covered by this EPD satisfy general,,,,,,,,,,,,,,,,,,,,,,,,,,,,Portland Cement,,,,,EPD 346,,"Edmonton, AB T6B 3T7",Athena Sustainable Materials Institute,NSF International,External,"Thomas P. Gloria, Ph.D., Industrial Ecology Consultants, ASTM International","ISO 14025:2006, ISO 21930:2017, EN 15804:2012, ISO 14040","for Concrete Version 2.1 (August 2021),",and other calculation methodologies are specified in Table 4. Tables 5 through 25 present the LCA results for,"V2 was used to gather the facility data, mix designs, and to conduct the LCA modeling.",ecoinvent 3.4,,
A12365,EPD 346,,,,,,,2027-07-27,,,Concrete Declared Product Alberta members.,,,,,,,273.04,The declared unit is 1 cubic metre of ready mixed concrete. Products covered by this EPD satisfy general,,,,,,,,,,,,,,,,,,,,,,,,,,,,Portland Cement,,,,,EPD 346,,"Edmonton, AB T6B 3T7",Athena Sustainable Materials Institute,NSF International,External,"Thomas P. Gloria, Ph.D., Industrial Ecology Consultants, ASTM International","ISO 14025:2006, ISO 21930:2017, EN 15804:2012, ISO 14040","for Concrete Version 2.1 (August 2021),",and other calculation methodologies are specified in Table 4. Tables 5 through 25 present the LCA results for,"V2 was used to gather the facility data, mix designs, and to conduct the LCA modeling.",ecoinvent 3.4,,
aaacc100,EPD 346,,,,,,,2027-07-27,,,Concrete Declared Product Alberta members.,,,,,,,273.04,The declared unit is 1 cubic metre of ready mixed concrete. Products covered by this EPD satisfy general,,,,,,,,,,,,,,,,,,,,,,,,,,,,Portland Cement,,,,,EPD 346,,"Edmonton, AB T6B 3T7",Athena Sustainable Materials Institute,NSF International,External,"Thomas P. Gloria, Ph.D., Industrial Ecology Consultants, ASTM International","ISO 14025:2006, ISO 21930:2017, EN 15804:2012, ISO 14040","for Concrete Version 2.1 (August 2021),",and other calculation methodologies are specified in Table 4. Tables 5 through 25 present the LCA results for,"V2 was used to gather the facility data, mix designs, and to conduct the LCA modeling.",ecoinvent 3.4,,
aaacc101,EPD 346,,,,,,,2027-07-27,,,Concrete Declared Product Alberta members.,,,,,,,273.04,The declared unit is 1 cubic metre of ready mixed concrete. Products covered by this EPD satisfy general,,,,,,,,,,,,,,,,,,,,,,,,,,,,Portland Cement,,,,,EPD 346,,"Edmonton, AB T6B 3T7",Athena Sustainable Materials Institute,NSF International,External,"Thomas P. Gloria, Ph.D., Industrial Ecology Consultants, ASTM International","ISO 14025:2006, ISO 21930:2017, EN 15804:2012, ISO 14040","for Concrete Version 2.1 (August 2021),",and other calculation methodologies are specified in Table 4. Tables 5 through 25 present the LCA results for,"V2 was used to gather the facility data, mix designs, and to conduct the LCA modeling.",ecoinvent 3.4,,
aaacc93,EPD 346,,,,,,,2027-07-27,,,Concrete Declared Product Alberta members.,,,,,,,273.04,The declared unit is 1 cubic metre of ready mixed concrete. Products covered by this EPD satisfy general,,,,,,,,,,,,,,,,,,,,,,,,,,,,Portland Cement,,,,,EPD 346,,"Edmonton, AB T6B 3T7",Athena Sustainable Materials Institute,NSF International,External,"Thomas P. Gloria, Ph.D., Industrial Ecology Consultants, ASTM International","ISO 14025:2006, ISO 21930:2017, EN 15804:2012, ISO 14040","for Concrete Version 2.1 (August 2021),",and other calculation methodologies are specified in Table 4. Tables 5 through 25 present the LCA results for,"V2 was used to gather the facility data, mix designs, and to conduct the LCA modeling.",ecoinvent 3.4,,
aaacc94,EPD 346,,,,,,,2027-07-27,,,Concrete Declared Product Alberta members.,,,,,,,273.04,The declared unit is 1 cubic metre of ready mixed concrete. Products covered by this EPD satisfy general,,,,,,,,,,,,,,,,,,,,,,,,,,,,Portland Cement,,,,,EPD 346,,"Edmonton, AB T6B 3T7",Athena Sustainable Materials Institute,NSF International,External,"Thomas P. Gloria, Ph.D., Industrial Ecology Consultants, ASTM International","ISO 14025:2006, ISO 21930:2017, EN 15804:2012, ISO 14040","for Concrete Version 2.1 (August 2021),",and other calculation methodologies are specified in Table 4. Tables 5 through 25 present the LCA results for,"V2 was used to gather the facility data, mix designs, and to conduct the LCA modeling.",ecoinvent 3.4,,
aaacc95,EPD 346,,,,,,,2027-07-27,,,Concrete Declared Product Alberta members.,,,,,,,273.04,The declared unit is 1 cubic metre of ready mixed concrete. Products covered by this EPD satisfy general,,,,,,,,,,,,,,,,,,,,,,,,,,,,Portland Cement,,,,,EPD 346,,"Edmonton, AB T6B 3T7",Athena Sustainable Materials Institute,NSF International,External,"Thomas P. Gloria, Ph.D., Industrial Ecology Consultants, ASTM International","ISO 14025:2006, ISO 21930:2017, EN 15804:2012, ISO 14040","for Concrete Version 2.1 (August 2021),",and other calculation methodologies are specified in Table 4. Tables 5 through 25 present the LCA results for,"V2 was used to gather the facility data, mix designs, and to conduct the LCA modeling.",ecoinvent 3.4,,
