beam_id,epd_id_raw,ID,Display Name,Listed,Do Not List,Industry Avg,BEAM Avg,EPD Expiry,Footnote,Material,Manufacturer,Product Brand Name,Specifications,Notes,Countries of Manufacture,Markets of Applicability,Data added or modified,Stated EPD kgCO2e / unit,GWP units kgCO2e per,GWP kgCO2e/(common unit),Common Unit: kgCO2e / _,Metric Units,Imperial Units,GWP-bio from EPD,Biogenic carbon factor,% Carbon content (kgC/kg),Biogenic Storage,(common-unit repeat),WWF Storage Factor,Carbon content kgC/unit,(units kgC repeat),Biogenic CO2 full C value,Storage % Reduction,Density,Density Units,Addn'l factors,Addn'l factor units,R-value / inch,"k, Thermal Conductivity",Moisture content %,Mass (kg),Length (m),Width (m),Depth (m),Unit Volume (m3),Units/m2,Material Type,Material Subtype,Product Type,Product Subtype,(classification code — excluded §9),EPD ID,EPD Type,EPD Owner,EPD/LCA Prepared by,EPD Program / Operator,Internal/External Validation,EPD Verifying Agent,EPD Standards,EPD PCR Guidelines,LCA Method,EPD LCA Software,EPD LCI Database,Product Service Life (Years),Source document URL
www111,SCS-EPD-07201,,,,,,,2026-09-26,,Window - double-glazed,Andersen,E-series (Average Double-hung/Awning/Picture),"Wood frame, aluminum cladding",,US,US & CA,,73.8,m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wood + Alluminum frame,,,,,SCS-EPD-07201,Product-specific,Andersen,Suzanna Hickey,SCS Global Services,External,"Tess Garvey, SCS Global Services",,,,GaBi 10,,,
WIJ000,SCS-EPD-07524,,,,,,,2026,,Wood I-joist,RedBuilt,Red I-45,"14"" depth, 1.75 x 1.5"" flanges",,US,US & CA,,#DIV/0!,m,,,,,,,,,,,,,,,,,3.28,kg/m,,,,,,,,,,Wood I-joist,,,,,SCS-EPD-07524,Product-specific,Redbuilt LLC,SCS Global,SCS Global,External,Industrial Ecology Consultants,ISO 21930:2017,"Structural and architectural wood products, v1.4",TRACI 2.1,OpenLCA 1.10,Ecoinvent v3.7,,
WIJ001,SCS-EPD-07524,,,,,,,2026,,Wood I-joist,RedBuilt,Red I-45,"14"" depth, 1.75 x 1.5"" flanges",,US,US & CA,,2.9,m,,,,,,,,,,,,,,,,,3.72,kg/m,,,,,,,,,,Wood I-joist,,,,,SCS-EPD-07524,Product-specific,Redbuilt LLC,SCS Global,SCS Global,External,Industrial Ecology Consultants,ISO 21930:2017,"Structural and architectural wood products, v1.4",TRACI 2.1,OpenLCA 1.10,Ecoinvent v3.7,,
WIJ002,SCS-EPD-07524,,,,,,,2026,,Wood I-joist,RedBuilt,Red I-45,"14"" depth, 1.75 x 1.5"" flanges",,US,US & CA,,3.48,m,,,,,,,,,,,,,,,,,4.46,kg/m,,,,,,,,,,Wood I-joist,,,,,SCS-EPD-07524,Product-specific,Redbuilt LLC,SCS Global,SCS Global,External,Industrial Ecology Consultants,ISO 21930:2017,"Structural and architectural wood products, v1.4",TRACI 2.1,OpenLCA 1.10,Ecoinvent v3.7,,
WIJ003,SCS-EPD-07524,,,,,,,2026,,Wood I-joist,RedBuilt,Red I-45,"14"" depth, 1.75 x 1.5"" flanges",,US,US & CA,,4.17,m,,,,,,,,,,,,,,,,,5.35,kg/m,,,,,,,,,,Wood I-joist,,,,,SCS-EPD-07524,Product-specific,Redbuilt LLC,SCS Global,SCS Global,External,Industrial Ecology Consultants,ISO 21930:2017,"Structural and architectural wood products, v1.4",TRACI 2.1,OpenLCA 1.10,Ecoinvent v3.7,,
WIJ004,SCS-EPD-07524,,,,,,,2026,,Wood I-joist,RedBuilt,Red I-45,"14"" depth, 1.75 x 1.5"" flanges",,US,US & CA,,4.53,m,,,,,,,,,,,,,,,,,5.81,kg/m,,,,,,,,,,Wood I-joist,,,,,SCS-EPD-07524,Product-specific,Redbuilt LLC,SCS Global,SCS Global,External,Industrial Ecology Consultants,ISO 21930:2017,"Structural and architectural wood products, v1.4",TRACI 2.1,OpenLCA 1.10,Ecoinvent v3.7,,
WIJ005,SCS-EPD-07524,,,,,,,2026,,Wood I-joist,RedBuilt,Red I-45,"14"" depth, 1.75 x 1.5"" flanges",,US,US & CA,,4.88,m,,,,,,,,,,,,,,,,,6.26,kg/m,,,,,,,,,,Wood I-joist,,,,,SCS-EPD-07524,Product-specific,Redbuilt LLC,SCS Global,SCS Global,External,Industrial Ecology Consultants,ISO 21930:2017,"Structural and architectural wood products, v1.4",TRACI 2.1,OpenLCA 1.10,Ecoinvent v3.7,,
LAM001,SCS-EPD-07525,,,,,,,2026,,Laminated veneer lumber,RedBuilt,RedLam LVL,,,US,US & CA,,177.23,m3,,,,,,,,,,,,,,,593,kg/m3,,,,,,,,,,,,Wood,,,,,SCS-EPD-07525,Product-specific,Redbuilt LLC,SCS Global,SCS Global,External,Industrial Ecology Consultants,ISO 21930:2017,"Structural and architectural wood products, v1.4",TRACI 2.1,OpenLCA 1.10,Ecoinvent v3.7,,
TRU000,SCS-EPD-07526,,,,,,,2026-12-19,,Wood/steel hybrid floor truss,RedBuilt,Red-L Open-Web,"14"" deep, 1.5 x 3.5"" chords",,US,US & CA,,11.1,m,,,,,,,,,,,,,,,5.6,kg/m,,,,,,,,,,,,Wood/steel,,,,,SCS-EPD-07526,Product-specific,Redbuilt LLC,SCS Global,SCS Global,External,Industrial Ecology Consultants,ISO 21930:2017,"Structural and architectural wood products, v1.1",TRACI 2.1,OpenLCA 1.10,Ecoinvent v3.7,,
TRU001,SCS-EPD-07526,,,,,,,2026-12-19,,Wood/steel hybrid floor truss,RedBuilt,Red-W Open-Web,"14"" deep, 1.5 x 4.25"" chords",,US,US & CA,,14.08,m,,,,,,,,,,,,,,,7.05,kg/m,,,,,,,,,,,,Wood/steel,,,,,SCS-EPD-07526,Product-specific,Redbuilt LLC,SCS Global,SCS Global,External,Industrial Ecology Consultants,ISO 21930:2017,"Structural and architectural wood products, v1.3",TRACI 2.1,OpenLCA 1.10,Ecoinvent v3.7,,
