beam_id,epd_id_raw,ID,Display Name,Listed,Do Not List,Industry Avg,BEAM Avg,EPD Expiry,Footnote,Material,Manufacturer,Product Brand Name,Specifications,Notes,Countries of Manufacture,Markets of Applicability,Data added or modified,Stated EPD kgCO2e / unit,GWP units kgCO2e per,GWP kgCO2e/(common unit),Common Unit: kgCO2e / _,Metric Units,Imperial Units,GWP-bio from EPD,Biogenic carbon factor,% Carbon content (kgC/kg),Biogenic Storage,(common-unit repeat),WWF Storage Factor,Carbon content kgC/unit,(units kgC repeat),Biogenic CO2 full C value,Storage % Reduction,Density,Density Units,Addn'l factors,Addn'l factor units,R-value / inch,"k, Thermal Conductivity",Moisture content %,Mass (kg),Length (m),Width (m),Depth (m),Unit Volume (m3),Units/m2,Material Type,Material Subtype,Product Type,Product Subtype,(classification code — excluded §9),EPD ID,EPD Type,EPD Owner,EPD/LCA Prepared by,EPD Program / Operator,Internal/External Validation,EPD Verifying Agent,EPD Standards,EPD PCR Guidelines,LCA Method,EPD LCA Software,EPD LCI Database,Product Service Life (Years),Source document URL
9d6057,075/2018,,,,,,,2023-08-30,,Reflective roof coating,Selena Group,COOL-R,SRI 107,,Poland,EU,,1.12,kg,,,,,,,,,,,,,,,,,2.300,kg/m2,,,,,,,,,,,,,,,075/2018,Product-specific,,Instytut Techniki Budowlanej (ITB),,,,,,,,,,
541b20,11345278.101.1,,,,,,,2021,,Helical pier,Generic,,"3"" Nominal Pipe, 3.5 x 3/16"" (89 x 5.5 mm), 10"" Helix, Sched 40 STD Galvanized steel",,,,,1.48,kg,,,,,,,,,,,,,,,7800,kg/m3,11.908,kg/m,,,,,,,,,,,,,,,11345278.101.1,Industry average,,UL Environment,,,,,,,,,,
CMU007,176277033092021,,,,,,,2026-10-01,,Compressed earth block wall,Briques Technic Concept - Cycle terre,Stabilized with 0.2% NHL - 2.2% CEM III,"100mm (4"") width, incl. mortar",,EU,EU,,4.5,m2,,,,,,,,,,,,,,,160.053,kg/m2 @ 0.1m width,,20.277,kg of mortar/m2 blocks@ 0.1m width,,,,,,0.100,,,Earth Block,,,,,176277033092021,Industry average,BRIQUES TECHNIC CONCEPT,Esteana,Agence Française de Normalisation (AFNOR),External,"Sébastien Lasvaux, LESBAT","NF EN ISO 14025, NF EN 15804+A1, NF EN 15804/CN",Norme NF EN 15804+A1 - NF EN 15804/CN.,,,,100,
www118,200,,,,,,,2026,,"Window, aluminum frame",Arcadia,"CV200, T200",Double pane,,US,US & CA,,125,m2,,,,,,,,,,,,,,,,,,,,,,,,,,,,Double pane window,,,,,200,Product-specific,Arcadia,Four Elements Consulting,ASTM,External,"Tom Gloria, Industrial Ecology Consultants",ISO 21930,Earthsure cradle to gate window product category rule 30171600-2016,TRACI 2.1,SimaPro,"US LCI, DATASMART, EcoInvent",,
bbb000,2021M20141,,,,,,,2026,,Sheet barrier,Rothoblaas,Vapor in Green 200,,,EU,EU,,0.4,m²,,,,,0.178,,,,,,,,,,200,g/m2,,,,,,,,,,,,Barrier,,,,,2021M20141,Product-specific,Rotho Blaas SRL,EPDITALY,Sphera,External,ICMQ SpA,EN 15804,PCR ICMQ-001/15 rev 3.0,,GaBi 10,GaBi DB 2021.1,,
bbb001,2021M20141,,,,,,,2026,,Sheet barrier,Rothoblaas,Clima Control Net 160,,,EU,EU,,0.9,m²,,,,,,,,,,,,,,,160,g/m2,,,,,,,,,,,,Barrier,,,,,2021M20141,Product-specific,Rotho Blaas SRL,EPDITALY,Sphera,External,ICMQ SpA,EN 15804,PCR ICMQ-001/15 rev 3.0,,GaBi 10,GaBi DB 2021.1,,
bbb002,2021M20141,,,,,,,2026,,Sheet barrier,Rothoblaas,Traspir EVO 160,,,EU,EU,,0.6,m²,,,,,,,,,,,,,,,160,g/m2,,,,,,,,,,,,Barrier,,,,,2021M20141,Product-specific,Rotho Blaas SRL,EPDITALY,Sphera,External,ICMQ SpA,EN 15804,PCR ICMQ-001/15 rev 3.0,,GaBi 10,GaBi DB 2021.1,,
bbb003,2021M20141,,,,,,,2026,,Sheet barrier,Rothoblaas,Traspir Vapor 225,,,EU,EU,,0.7,m²,,,,,,,,,,,,,,,225,g/m2,,,,,,,,,,,,Barrier,,,,,2021M20141,Product-specific,Rotho Blaas SRL,EPDITALY,Sphera,External,ICMQ SpA,EN 15804,PCR ICMQ-001/15 rev 3.0,,GaBi 10,GaBi DB 2021.1,,
bbb004,2021M20141,,,,,,,2026,,Sheet barrier,Rothoblaas,Traspir 110,,,EU,EU,,0.3,m²,,,,,,,,,,,,,,,112,g/m2,,,,,,,,,,,,Barrier,,,,,2021M20141,Product-specific,Rotho Blaas SRL,EPDITALY,Sphera,External,ICMQ SpA,EN 15804,PCR ICMQ-001/15 rev 3.0,,GaBi 10,GaBi DB 2021.1,,
bbb005,2021M20141,,,,,,,2026,,Sheet barrier,Rothoblaas,Traspir EVO UV 210,,,EU,EU,,1.4,m²,,,,,,,,,,,,,,,210,g/m2,,,,,,,,,,,,Barrier,,,,,2021M20141,Product-specific,Rotho Blaas SRL,EPDITALY,Sphera,External,ICMQ SpA,EN 15804,PCR ICMQ-001/15 rev 3.0,,GaBi 10,GaBi DB 2021.1,,
bbb006,2021M20141,,,,,,,2026,,Sheet barrier,Rothoblaas,Traspir Weld EVO 360,,,EU,EU,,1.6,m²,,,,,,,,,,,,,,,360,g/m2,,,,,,,,,,,,Barrier,,,,,2021M20141,Product-specific,Rotho Blaas SRL,EPDITALY,Sphera,External,ICMQ SpA,EN 15804,PCR ICMQ-001/15 rev 3.0,,GaBi 10,GaBi DB 2021.1,,
bbb029,2021M20141,,,,,,,2026,,Sheet barrier,Rothoblaas,Clima Control 80,,,EU,EU,,0.7,m²,,,,,,,,,,,,,,,80,g/m2,,,,,,,,,,,,Barrier,,,,,2021M20141,Product-specific,Rotho Blaas SRL,EPDITALY,Sphera,External,ICMQ SpA,EN 15804,PCR ICMQ-001/15 rev 3.0,,GaBi 10,GaBi DB 2021.1,,
bbb030,2021M20141,,,,,,,2026,,Sheet barrier,Rothoblaas,Vapor in NET 140,,,EU,EU,,0.4,m²,,,,,,,,,,,,,,,140,g/m2,,,,,,,,,,,,Barrier,,,,,2021M20141,Product-specific,Rotho Blaas SRL,EPDITALY,Sphera,External,ICMQ SpA,EN 15804,PCR ICMQ-001/15 rev 3.0,,GaBi 10,GaBi DB 2021.1,,
CMU006,20220329507,,,,,,,2026-10-01,,Compressed earth block wall,Briques Technic Concept - Cycle terre,Stabilized with 3.7% NH,"300mm (11 13/16"") width, incl. mortar",,EU,EU,,27.8,m2,,,,,,,,,,,,,,,535.695,kg/m2 @ 0.3m width,,43.114,kg of mortar/m2 blocks@ 0.3m width,,,,,,0.300,,,Earth Block,,,,,20220329507,Industry average,BRIQUES TECHNIC CONCEPT,Esteana,Agence Française de Normalisation (AFNOR),External,"Sébastien Lasvaux, LESBAT","NF EN ISO 14025, NF EN 15804+A1, NF EN 15804/CN",Norme NF EN 15804+A1 - NF EN 15804/CN.,,,,100,
CAR005,4029-8012,,,,,,,2023-11-18,,Carpet,Venture Carpet,Average Product - Nylon 2520 Yarn System,3.5 mm nylon 6 yarn Modular Carpet,,CA,US & CA,,13.38,m2,,,,,,,,,,,,,,,3.765,kg/m2,,,,,,,0.500,0.500,0.004,,,Nylon,,,,,4029-8012,Product-specific,Venture Carpets,Vertima Inc.,CSA Group,External,"Lindita Bushi, Ph.D., Athena Sustainable Materials Institute",,"Flooring: Carpet, Resilient, Laminate, Ceramic, Wood, Version2 NSF International Valid through May 21, 2019",CML baseline v.4.4,,,15,
CAR006,4029-8012,,,,,,,2023-11-18,,Carpet,Venture Carpet,Average Product - Polypropylene Yarn System,3.5 mm Modular Carpet,,CA,US & CA,,6.83,m2,,,,,,,,,,,,,,,3.621,kg/m2,,,,,,,0.500,0.500,0.004,,,Polypropylene,,,,,4029-8012,Product-specific,Venture Carpets,Vertima Inc.,CSA Group,External,"Lindita Bushi, Ph.D., Athena Sustainable Materials Institute",,"Flooring: Carpet, Resilient, Laminate, Ceramic, Wood, Version2 NSF International Valid through May 21, 2019",CML baseline v.4.4,,,15,
CAR007,4029-8012,,,,,,,2023-11-18,,Carpet,Venture Carpet,Polyester Yarn System,10.0 mm Modular Carpet,,CA,US & CA,,9.88,m2,,,,,,,,,,,,,,,4.44,kg/m2,,,,,,,0.500,0.500,0.010,,,Polyester,,,,,4029-8012,Product-specific,Venture Carpets,Vertima Inc.,CSA Group,External,"Lindita Bushi, Ph.D., Athena Sustainable Materials Institute",,"Flooring: Carpet, Resilient, Laminate, Ceramic, Wood, Version2 NSF International Valid through May 21, 2019",CML baseline v.4.4,,,15,
CAR008,4029-8012,,,,,,,2023-11-18,,Carpet,Venture Carpet,Recycled nylon 6 yarn system,3.5 mm Modular Carpet,,CA,US & CA,,7.8,m2,,,,,,,,,,,,,,,3.77,kg/m2,,,,,,,0.500,0.500,0.004,,,Recycled Nylon,,,,,4029-8012,Product-specific,Venture Carpets,Vertima Inc.,CSA Group,External,"Lindita Bushi, Ph.D., Athena Sustainable Materials Institute",,"Flooring: Carpet, Resilient, Laminate, Ceramic, Wood, Version2 NSF International Valid through May 21, 2019",CML baseline v.4.4,,,15,
MPS002,4078-8004,,,,,,,2027,,Metal Panels - Steel,Canadian Sheet Steel Building Institute,"Includes: Agway, Bailey, Behlen, Canam,DASS, DCM, Duchesne, EB, Exsteel, Ideal Roofing, Imperial, LKME, Manugypse, Metal Up, Scotia, Steel Tile Co, Steelway, Trebor, Vicwest, Vulcraft, Westform, Westman",24 gauge,,CAN,US & CA,,2.434,kg,,,,,,,,,,,,,,,7800,kg/m3,4.88,kg/m2,,,,,,,0.001,,,Metal,,,,,4078-8004,Industry average,Canadian Sheet Steel Building Institute,ArcelorMittal Global R&D,CSA,External,Groupe AGECO,ISO 14044,"Designated steel construction product EPD requirements, v2.0",TRACI 2.1,GaBi 10.6,GaBi 10.6 & Ecoinvent 3.6,75,
676103,4786842353.103.1,,,,,,,2022,,EPDM Roofing Membrane,"Mfrs included: Carlisle SynTec Systems, Firestone Building Products, Johns Manville",,,,US,US,,6.69,m²,,,,,,,,,,,,,,,2.07,kg/m2,,,,,,,,,,,,,,,,,4786842353.103.1,Industry average,Single Ply Roofing Industry (SPRI),UL Environment,UL Environment,External,,,,,,,,
PLY004,4786969381.102.1,,,,,,,2024,,Plywood,Roseburg,softwood ply,"1/2""",,US,US & CA,,1.5,"m2 at 3/8""",,,,,,,,,,,,,,,4.38,"kg/m2 at 3/8""",,,,,,,,,,,,Plywood,,,,,4786969381.102.1,Product-specific,Roseburg Forest Products,UL Environment,UL Environment,External,Industrial Ecology Consultants,ISO 21930:2017,"North American structural and architectural wood products, v2",,,,,
PLY005,4786969381.102.1,,,,,,,2024,,Plywood,Roseburg,softwood ply,"3/4""",,US,US & CA,,1.5,"m2 at 3/8""",,,,,,,,,,,,,,,4.38,"kg/m2 at 3/8""",,,,,,,,,,,,Plywood,,,,,4786969381.102.1,Product-specific,Roseburg Forest Products,UL Environment,UL Environment,External,Industrial Ecology Consultants,ISO 21930:2017,"North American structural and architectural wood products, v2",,,,,
237e64,4787168709.104.1,,,,,,,2021,,SBS Modified Bitumen Roofing,ARMA,"Includes: CertainTeed, Firestone, GAF, Henry, IKO, Johns Mansville, Malarkey, Siplast, Soprema",,,,US & CA,,6.7,m²,,,,,,,,,,,,,,,8.4,kg/m2,,,,,,,,,,,,,,,,,4787168709.104.1,Industry average,,UL Environment,,,,,,,,,,
b8e3dc,4787352797.110.1,,,,,,,2024,,Gypsum panels - glass mat,USG,Securock ExoAir 430,"1/2""",,,US,,568,92.9m2,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gypsum,,,,,4787352797.110.1,Product-specific,,UL Environment,,,,,,,,,,
LVT005,4787521006.133.1,,,,,,,2025,,Luxury vinyl tile (LVT),Interface,All tile & plank models,3.0 mm,,US,US & CA,,10.4,m2,,,,,,,,,,,,,,,5.44,kg/m2,,,,,,,,,,,,Luxury vinyl tile,,,,,4787521006.133.1,Product-specific,Interface,,,,,,,TRACI 2.1,,,,
68328c,4788424634.101.1,,,,,,,2025,,OSB sheathing,American Wood Council & Canadian Wood Council,,"5/8""",,,US & CA,,242.58,m3,,,,,,,,,,,,,,,620,kg/m3,9.8456,"kg/m2 at 5/8""",,,,,,,,,,,,,,,4788424634.101.1,Industry average,,UL Environment,,,,,,,,,,
69ac20,4788424634.101.1,,,,,,,2025,,OSB sheathing,American Wood Council & Canadian Wood Council,,"3/4""",,,US & CA,,242.58,m3,,,,,,,,,,,,,,,620,kg/m3,11.811,"kg/m2 at 3/4""",,,,,,,,,,,,,,,4788424634.101.1,Industry average,,UL Environment,,,,,,,,,,
d14a8f,4788424634.101.1,,,,,,,2025,,OSB sheathing,American Wood Council & Canadian Wood Council,,"7/8""",,,US & CA,,242.58,m3,,,,,,,,,,,,,,,620,kg/m3,13.7795,"kg/m2 at 7/8""",,,,,,,,,,,,,,,4788424634.101.1,Industry average,,UL Environment,,,,,,,,,,
edcc0d,4788424634.101.1,,,,,,,2025,,OSB sheathing,American Wood Council & Canadian Wood Council,,"1/2""",,,US & CA,,242.58,m3,,,,,,,,,,,,,,,620,kg/m3,7.874,"kg/m2 at 1/2""",,,,,,,,,,,,,,,4788424634.101.1,Industry average,,UL Environment,,,,,,,,,,
f0c8ce,4788424634.101.1,,,,,,,2025,,OSB sheathing,American Wood Council & Canadian Wood Council,,"7/16""",,,US & CA,,242.58,m3,,,,,,,,,,,,,,,620,kg/m3,6.88975,"kg/m2 at 7/16""",,,,,,,,,,,,,,,4788424634.101.1,Industry average,,UL Environment,,,,,,,,,,
12dc8t,4788424634.102.1,,,,,,,2025,,Wood - SPF,American Wood Council & Canadian Wood Council,,"by area (m2) (i.e. solid 2.5"" x area x framing %)",,,US & CA,,63.12,m3,,,,,,,,,,,,,,,460,kg/m3,,,,,,,1.000,0.0381,0.0635,0.002419,,,,,,,4788424634.102.1,Industry average,,UL Environment,,,,,,,,,,
1k46tl,4788424634.102.1,,,,,,,2025,,Wood - SPF,American Wood Council & Canadian Wood Council,,by length (m),,,US & CA,,63.12,m3,,,,,,,,,,,,,,,460,kg/m3,,,,,,,1.000,0.0191,0.1842,0.003508,,,,,,,4788424634.102.1,Industry average,,UL Environment,,,,,,,,,,
2m3nf4,4788424634.102.1,,,,,,,2025,,Wood - SPF,American Wood Council & Canadian Wood Council,,"by area (m2) (i.e. solid 3.5"" x area x framing %)",,,US & CA,,63.12,m3,,,,,,,,,,,,,,,460,kg/m3,,,,,,,1.000,0.0381,0.0889,0.003387,,,,,,,4788424634.102.1,Industry average,,UL Environment,,,,,,,,,,
4f140x,4788424634.102.1,,,,,,,2025,,Wood - SPF,American Wood Council & Canadian Wood Council,,by length (m),,,US & CA,,63.12,m3,,,,,,,,,,,,,,,460,kg/m3,,,,,,,1.000,0.0191,0.2350,0.004476,,,,,,,4788424634.102.1,Industry average,,UL Environment,,,,,,,,,,
4ld02f,4788424634.102.1,,,,,,,2025,,Wood - SPF,American Wood Council & Canadian Wood Council,,"3/8"" boards",,,US & CA,,63.12,m3,,,,,,,,,,,,,,,460,kg/m3,,,,,,,1.000,0.0095,,,,,,,,,4788424634.102.1,Industry average,,UL Environment,,,,,,,,,,
4lv9wd,4788424634.102.1,,,,,,,2025,,Wood - SPF,American Wood Council & Canadian Wood Council,,"by area (m2) (i.e. solid 7.25"" x area x framing %)",,,US & CA,,63.12,m3,,,,,,,,,,,,,,,460,kg/m3,,,,,,,1.000,0.0381,0.1842,0.007016,,,,,,,4788424634.102.1,Industry average,,UL Environment,,,,,,,,,,
4scwf3,4788424634.102.1,,,,,,,2025,,Wood - SPF,American Wood Council & Canadian Wood Council,,"3/4"" boards",,,US & CA,,63.12,m3,,,,,,,,,,,,,,,460,kg/m3,,,,,,,1.000,0.0191,,,,,,,,,4788424634.102.1,Industry average,,UL Environment,,,,,,,,,,
8vkef3,4788424634.102.1,,,,,,,2025,,Wood - SPF,American Wood Council & Canadian Wood Council,,"by area (m2) (i.e. solid 7.25"" x area x framing %)",,,US & CA,,63.12,m3,,,,,,,,,,,,,,,460,kg/m3,,,,,,,1.000,0.0381,0.2350,0.008952,,,,,,,4788424634.102.1,Industry average,,UL Environment,,,,,,,,,,
9219e5,4788424634.102.1,,,,,,,2025,,Wood - SPF,American Wood Council & Canadian Wood Council,,by volume (m3),,,US & CA,,63.12,m3,,,,,,,,,,,,,,,460,kg/m3,,,,,,,1.000,1.000,1.000,1.000000,,,,,,,4788424634.102.1,Industry average,,UL Environment,,,,,,,,,,
92d24d,4788424634.102.1,,,,,,,2025,,Wood - SPF,American Wood Council & Canadian Wood Council,,by length (m),,,US & CA,,63.12,m3,,,,,,,,,,,,,,,460,kg/m3,,,,,,,1.000,0.0191,0.1397,0.002661,,,,,,,4788424634.102.1,Industry average,,UL Environment,,,,,,,,,,
c309dk,4788424634.102.1,,,,,,,2025,,Wood - SPF,American Wood Council & Canadian Wood Council,,"by area (m2) (i.e. solid 5.5"" x area x framing %)",,,US & CA,,63.12,m3,,,,,,,,,,,,,,,460,kg/m3,,,,,,,1.000,0.0381,0.1397,0.005323,,,,,,,4788424634.102.1,Industry average,,UL Environment,,,,,,,,,,
k2f2dm,4788424634.102.1,,,,,,,2025,,Wood - SPF,American Wood Council & Canadian Wood Council,,by length (m),,,US & CA,,63.12,m3,,,,,,,,,,,,,,,460,kg/m3,,,,,,,1.000,0.0191,0.0381,0.000726,,,,,,,4788424634.102.1,Industry average,,UL Environment,,,,,,,,,,
l2kgs9,4788424634.102.1,,,,,,,2025,,Wood - SPF,American Wood Council & Canadian Wood Council,,"1/2"" boards",,,US & CA,,63.12,m3,,,,,,,,,,,,,,,460,kg/m3,,,,,,,1.000,0.0127,,,,,,,,,4788424634.102.1,Industry average,,UL Environment,,,,,,,,,,
o3kwx9,4788424634.102.1,,,,,,,2025,,Wood - SPF,American Wood Council & Canadian Wood Council,,"by area (m2) (i.e. solid 7.25"" x area x framing %)",,,US & CA,,63.12,m3,,,,,,,,,,,,,,,460,kg/m3,,,,,,,1.000,0.0381,0.2858,0.010887,,,,,,,4788424634.102.1,Industry average,,UL Environment,,,,,,,,,,
p2v3x5,4788424634.102.1,,,,,,,2025,,Wood - SPF,American Wood Council & Canadian Wood Council,,"5/8"" boards",,,US & CA,,63.12,m3,,,,,,,,,,,,,,,460,kg/m3,,,,,,,1.000,0.0159,,,,,,,,,4788424634.102.1,Industry average,,UL Environment,,,,,,,,,,
s029f2,4788424634.102.1,,,,,,,2025,,Wood - SPF,American Wood Council & Canadian Wood Council,,by length (m),,,US & CA,,63.12,m3,,,,,,,,,,,,,,,460,kg/m3,,,,,,,1.000,0.0191,0.0889,0.001694,,,,,,,4788424634.102.1,Industry average,,UL Environment,,,,,,,,,,
t2c9ss,4788424634.102.1,,,,,,,2025,,Wood - SPF,American Wood Council & Canadian Wood Council,,"1/4"" boards",,,US & CA,,63.12,m3,,,,,,,,,,,,,,,460,kg/m3,,,,,,,1.000,0.0064,,,,,,,,,4788424634.102.1,Industry average,,UL Environment,,,,,,,,,,
w93kcl,4788424634.102.1,,,,,,,2025,,Wood - SPF,American Wood Council & Canadian Wood Council,,by length (m),,,US & CA,,63.12,m3,,,,,,,,,,,,,,,460,kg/m3,,,,,,,1.000,0.0191,0.0635,0.001210,,,,,,,4788424634.102.1,Industry average,,UL Environment,,,,,,,,,,
x3fk2s,4788424634.102.1,,,,,,,2025,,Wood - SPF,American Wood Council & Canadian Wood Council,,"7/8"" boards",,,US & CA,,63.12,m3,,,,,,,,,,,,,,,460,kg/m3,,,,,,,1.000,0.0222,,,,,,,,,4788424634.102.1,Industry average,,UL Environment,,,,,,,,,,
61a79e,4788424634.103.1,,,,,,,2025,,Plywood,American Wood Council & Canadian Wood Council,,"3/4""",,,US & CA,,219.32,m3,,,,,,,,,,,,,,,484,kg/m3,9.2202,"kg/m2 at 3/4""",,,,,,,,,,,,,,,4788424634.103.1,Industry average,,UL Environment,,,,,,,,,,
c41283,4788424634.103.1,,,,,,,2025,,Plywood,American Wood Council & Canadian Wood Council,,"1/2""",,,US & CA,,219.32,m3,,,,,,,,,,,,,,,484,kg/m3,6.1468,"kg/m2 at 1/2""",,,,,,,,,,,,,,,4788424634.103.1,Industry average,,UL Environment,,,,,,,,,,
d88aad,4788424634.103.1,,,,,,,2025,,Plywood,American Wood Council & Canadian Wood Council,,"5/8""",,,US & CA,,219.32,m3,,,,,,,,,,,,,,,484,kg/m3,7.6956,"kg/m2 at 5/8""",,,,,,,,,,,,,,,4788424634.103.1,Industry average,,UL Environment,,,,,,,,,,
f92a05,4788424634.104.1,,,,,,,2025,,Glued Laminated Timber (Glulam),American Wood Council & Canadian Wood Council,,,,US & CA,US & CA,,137.19,m3,,,,,,,,,,,,,,,548,kg/m3,,,,,,,,,0.089,,,,,,,,4788424634.104.1,Industry average,,UL Environment,,,,,,,,,,
vd92kd,4788424634.104.1,,,,,,,2025,,Glued Laminated Timber (Glulam),American Wood Council & Canadian Wood Council,,,,US & CA,US & CA,,137.19,m3,,,,,,,,,,,,,,,548,kg/m3,,,,,,,,,0.089,,,,,,,,4788424634.104.1,Industry average,,UL Environment,,,,,,,,,,
ebd574,4788424634.105.1,,,,,,,2025,,Laminated veneer lumber,American Wood Council & Canadian Wood Council,,,,,US & CA,,361.45,m3,,,,,,,,,,,,,,,548,kg/m3,,,,,,,,,,,,Wood,,,,,4788424634.105.1,Industry average,,UL Environment,UL Environment,,,,,,,,,
a6h0p2,4788424634.106.1,,,,,,,2025,,Wood I joist,American Wood Council & Canadian Wood Council,,TJI 230/360,,,US & CA,,1.97,m at avg depth,,,,,0,,,,,,,,,,4.911,kg/m at depth,1.132,ratio to avg,,,,,,,,,,,,,,,4788424634.106.1,Industry average,,UL Environment,,,,,,,,,,
cec541,4788424634.106.1,,,,,,,2025,,Wood I joist,American Wood Council & Canadian Wood Council,,TJI 230/360,,,US & CA,,1.97,m at avg depth,,,,,0,,,,,,,,,,4.464,kg/m at depth,1.029,ratio to avg,,,,,,,,,,,,,,,4788424634.106.1,Industry average,,UL Environment,,,,,,,,,,
d92kl5,4788424634.106.1,,,,,,,2025,,Wood I joist,American Wood Council & Canadian Wood Council,,TJI 230/360,,,US & CA,,1.97,m at avg depth,,,,,0,,,,,,,,,,4.018,kg/m at depth,0.926,ratio to avg,,,,,,,,,,,,,,,4788424634.106.1,Industry average,,UL Environment,,,,,,,,,,
dk02lm,4788424634.106.1,,,,,,,2025,,Wood I joist,American Wood Council & Canadian Wood Council,,TJI 230/360,,,,,1.97,m at avg depth,,,,,8.65,,,,,,,,,,4.34,kg/m at avg depth,1,ratio to avg,,,,,,,,,,,,,,,4788424634.106.1,Industry average,,UL Environment,,,,,,,,,,
f53d9a,4788424634.106.1,,,,,,,2025,,Wood I joist,American Wood Council & Canadian Wood Council,,TJI 230/360,,,US & CA,,1.97,m at avg depth,,,,,0,,,,,,,,,,5.209,kg/m at depth,1.2,ratio to avg,,,,,,,,,,,,,,,4788424634.106.1,Industry average,,UL Environment,,,,,,,,,,
10d47f,4788424634.107.1,,,,,,,2025,,Wood - Redwood,American Wood Council & Canadian Wood Council,,Lumber by volume (m3),,,US,,37.97,m3,,,,,,,,,,,,,,,456,kg/m3,,,,,,,,,,,,,,,,,4788424634.107.1,Industry average,,UL Environment,,,,,,,,,,
31ckd0,4788424634.107.1,,,,,,,2025,,Wood - Redwood,American Wood Council & Canadian Wood Council,,by length (m),,,US,,37.97,m3,,,,,,,,,,,,,,,456,kg/m3,,,,,,,,0.0191,0.0889,,,,,,,,4788424634.107.1,Industry average,,UL Environment,,,,,,,,,,
iv303x,4788424634.107.1,,,,,,,2025,,Wood - Redwood,American Wood Council & Canadian Wood Council,,by length (m),,,US,,37.97,m3,,,,,,,,,,,,,,,456,kg/m3,,,,,,,,0.0191,0.0635,,,,,,,,4788424634.107.1,Industry average,,UL Environment,,,,,,,,,,
jk29kd,4788424634.107.1,,,,,,,2025,,Wood - Redwood,American Wood Council & Canadian Wood Council,,by length (m),,,US,,37.97,m3,,,,,,,,,,,,,,,456,kg/m3,,,,,,,,0.0191,0.0381,,,,,,,,4788424634.107.1,Industry average,,UL Environment,,,,,,,,,,
pd92mn,4788424634.107.1,,,,,,,2025,,Wood - Redwood,American Wood Council & Canadian Wood Council,,by surface area (m2),,,US,,37.97,m3,,,,,,,,,,,,,,,456,kg/m3,,,,,,,,0.0191,,,,,,,,,4788424634.107.1,Industry average,,UL Environment,,,,,,,,,,
1f3cc3,4788647002.101.1,,,,,,,2024,,Fiberglass batt,CertainTeed,Sustainable Insulation,R 3.6/inch,,,US,,0.94,m2•RSI,,,,,,,,,,,,,,,0.488,kg/m2 at RSI 1,,,3.64,0.0396212,,,,,,,,Fiberglass,,,,,4788647002.101.1,Product-specific,,UL Environment,,,,,,,,,,
f33e5e,4788647002.102.1,,,,,,,2024,,Fiberglass loose fill,CertainTeed,"InsulSafe, Optima, TruComfort",R 2.6/inch,,,US,,1.29,m2•RSI,,,,,,,,,,,,,,,0.574,kg/m2 at RSI 1,,,2.6,0.0554697,,,,,,,,Fiberglass,,,,,4788647002.102.1,Product-specific,,UL Environment,,,,,,,,,,
9cd566,4788721182.101.1,,,,,,,2024,,XPS foam board,Owens Corning,Foamular 250  (Legacy),R 5.0/inch,,Mexico,Mexico,,50.5,m2•RSI,,,,,,,,,,,,,,,24.8,kg/m3,,,5,0.02884424,,,,,,,,XPS Foam,,,,,4788721182.101.1,Product-specific,,UL Environment,,,,,,,,,,
MPA001,4788736474.105.1,,,,,,,2025,,Aluminum,CENTRIA,RZR,,,US,US & CA,,6020,100 m2,,,,,,,,,,,,,,,10.49,kg/m2,,,,,,,,,,,,Aluminum,,,,,4788736474.105.1,Product-specific,CENTRIA,UL Environment,UL Environment,External,Industrial Ecology Consultants,ISO 21930:2017,"Insulated metal panels, metal composite panels and metal cladding: roof and wall panels, UL 2018",TRACI 2.1,GaBi ts 9,GaBi 2019,,
MPA002,4788736474.105.1,,,,,,,2025,,Aluminum,CENTRIA,LVLZ,,,US,US & CA,,7700,100 m2,,,,,,,,,,,,,,,13.62,kg/m2,,,,,,,,,,,,Aluminum,,,,,4788736474.105.1,Product-specific,CENTRIA,UL Environment,UL Environment,External,Industrial Ecology Consultants,ISO 21930:2017,"Insulated metal panels, metal composite panels and metal cladding: roof and wall panels, UL 2019",TRACI 2.1,GaBi ts 10,GaBi 2020,,
LVT014,4788753451.101.1,,,,,,,2024,,Vinyl flooring,Resilient Floor Covering Institute,Heterogeneous,1.1 - 5.5mm,,,US & CA,,7.04,m²,,,,,,,,,,,,,,,2.1,kg/m2,,,,,,,,,0.0011-0.0055,,,Vinyl,,,,,4788753451.101.1,Industry average,Resilient Floor Covering Institute,"Thinkstep, Inc.",UL Environment,External,"Thomas P. Gloria, Ph.D., Industrial Ecology Consultants,",,"Part B: Part B: Flooring EPD Requirements UL, v. 2.0 September 2018",TRACI 2.1,GaBi ts 8.7,GaBi 2018 (service pack 36),30,
LVT000,4788753451.103.1,,,,,,,2024,,Rigid core vinyl flooring,Resilient Floor Covering Institute,,2 - 12mm,,,US & CA,,20.5,m²,,,,,,,,,,,,,,,9.2,kg/m2,,,,,,,,,0.002 - 0.012,,,Vinyl,,,,,4788753451.103.1,Industry average,Resilient Floor Covering Institute,"Thinkstep, Inc.",UL Environment,External,"Thomas P. Gloria, Ph.D., Industrial Ecology Consultants,",,"Part B: Part B: Flooring EPD Requirements UL, v. 2.0 September 2018",TRACI 2.1,GaBi ts 8.7,GaBi 2018 (service pack 36),30,
